pathway,pval,padj,log2err,ES,NES,size,cell_type
Cholesterol biosynthesis,1.702273106718279e-5,1.702273106718279e-4,0.5756102610711286,-0.7092780984714432,-2.1845603224225734,22,Astro
Cholesterol homeostasis,0.005658129839189994,0.009067317012162712,0.165720645153013,-0.43239328418429945,-1.6438792910820537,57,Astro
Fatty acid metabolism,0.0010054539846862632,0.0020109079693725264,0.45505986738722953,-0.31096856444832516,-1.500506584477483,316,Astro
Lipid transport,0.2524823898837308,0.28053598875970087,0.024406383888323755,-0.432276288915553,-1.1840122898257328,14,Astro
Mevalonate / isoprenoid,1.75178994609576e-4,5.046382241822504e-4,0.5188480777437918,-0.5657351073855017,-1.9861723736156198,38,Astro
Phospholipid metabolism,0.0402241226776762,0.05028015334709525,0.05431420952804927,-0.2633766822814847,-1.2678335959150488,307,Astro
SREBP regulation,0.006347121908513898,0.009067317012162712,0.15478286506961125,-0.41075890957089295,-1.6175149114386926,68,Astro
Sphingolipid metabolism,0.3397328321138484,0.3397328321138484,0.01752801336589133,-0.24359652069605245,-1.0613848509665282,129,Astro
Steroid metabolism,1.6527648371524023e-4,5.046382241822504e-4,0.5188480777437918,-0.3521411973019816,-1.6363307416168853,217,Astro
Sterol biosynthesis,2.0185528967290017e-4,5.046382241822504e-4,0.5188480777437918,-0.5134130240585993,-1.9241451320991025,53,Astro
Cholesterol biosynthesis,0.0963777490297542,0.2857142857142857,0.043502310371852905,0.45044385928751596,1.3724075225696755,20,Chandelier
Cholesterol homeostasis,0.06417208966015907,0.2857142857142857,0.05319309324956221,0.37422438711758305,1.3785146213544521,44,Chandelier
Fatty acid metabolism,0.14285714285714285,0.2857142857142857,0.03294886547545948,0.23207024232811502,1.1461410448399398,263,Chandelier
Lipid transport,0.11489088575096278,0.2857142857142857,0.04283452572043532,-0.5574504799169363,-1.381717763132506,9,Chandelier
Mevalonate / isoprenoid,0.32558139534883723,0.4257840184266478,0.021939196007384577,0.32092509346993825,1.0897922492727792,31,Chandelier
Phospholipid metabolism,0.6310579766036766,0.7011755295596407,0.017887642730070305,-0.18396263625945283,-0.9451384418056374,271,Chandelier
