pathway,pval,padj,log2err,ES,NES,size,cell_type
Aerobic resp / OxPhos summary,0.0037122687439143137,0.01670520934761441,0.18519704114703864,-0.311986584197248,-1.4695063921569134,240,Astro
Complex I (NADH:UQ),0.014227491663579103,0.04268247499073731,0.10375296130570547,-0.40462900567328397,-1.540509460225516,57,Astro
Complex III (UQ:Cyt c),0.2479019252920849,0.3187310468041092,0.02422488413465261,-0.3889779628986438,-1.1771248959547134,20,Astro
Complex IV (CytOx),0.5389131297104324,0.6062772709242364,0.014225181572975943,-0.28116793783648564,-0.9463008897777244,31,Astro
Complex V (ATP syn),3.841414148724483e-5,3.4572727338520346e-4,0.557332238758646,-0.49384523162201377,-1.9491213110573138,69,Astro
Inner membrane,0.08385671086299139,0.1509420795533845,0.036603622323608496,-0.24750540932198659,-1.201444787792374,336,Astro
Mito import / fold,0.05607170897670767,0.12616134519759226,0.04822883217043696,-0.29349128263904484,-1.299967756171865,145,Astro
Mito translation,0.9979224376731302,0.9979224376731302,0.016033199833537667,0.13378437190977482,0.6204849887877927,88,Astro
TCA cycle,0.16013734977368504,0.24020602466052757,0.030174388375135985,-0.3536140180028121,-1.2416197503497162,38,Astro
Aerobic resp / OxPhos summary,0.6885288065843621,0.9642365887207703,0.01687366990765234,-0.1828428348317354,-0.928142425307891,238,Chandelier
Complex I (NADH:UQ),0.6957376463229381,0.9642365887207703,0.01277784433830253,0.2233947101062195,0.8710684018417111,58,Chandelier
Complex III (UQ:Cyt c),0.9642365887207703,0.9642365887207703,0.009689499835889124,0.19718738437803798,0.5947472179162023,19,Chandelier
Complex IV (CytOx),0.9263475058587212,0.9642365887207703,0.012111415848970169,-0.1943207962010092,-0.6879921520433512,32,Chandelier
Complex V (ATP syn),0.8682071528100325,0.9642365887207703,0.013203117025809659,-0.18894085099404853,-0.7970499319453453,72,Chandelier
Inner membrane,0.6338453099286889,0.9642365887207703,0.01860915619817497,-0.18035128673693135,-0.952163578548121,341,Chandelier
Mito import / fold,0.2898051729929459,0.9642365887207703,0.022341487948855616,0.23361475299028087,1.074251542567905,153,Chandelier
Mito translation,0.9543993332539588,0.9642365887207703,0.012474059809291544,-0.16766168393124115,-0.7469793862214515,98,Chandelier
TCA cycle,0.16008082622361922,0.9642365887207703,0.03682433419711433,-0.3353214548727354,-1.2297621732866797,37,Chandelier
Aerobic resp / OxPhos summary,0.485059508736389,0.912694819892647,0.012946047352449417,-0.2716266501609369,-0.9905854680067928,64,Endo
Complex I (NADH:UQ),0.7885398264075582,0.912694819892647,0.009934180266295055,-0.2935728008266687,-0.760861738377647,13,Endo
Complex III (UQ:Cyt c),0.903922542204568,0.912694819892647,0.013482491921437181,0.2807818477204669,0.6344862063429001,6,Endo
Complex IV (CytOx),0.202780247312697,0.9125111129071365,0.026938089461876907,-0.5545846010731272,-1.2523411318588848,8,Endo
Complex V (ATP syn),0.7759618908024918,0.912694819892647,0.009618811853260543,-0.2723455117236957,-0.7756628210373927,19,Endo
Inner membrane,0.6466247278006291,0.912694819892647,0.009520803015487538,-0.2353856876857276,-0.9058102999986997,89,Endo
Mito import / fold,0.912694819892647,0.912694819892647,0.006589250762573313,-0.20001423594218123,-0.7069309976326805,53,Endo
Mito translation,0.8348957604589338,0.912694819892647,0.015645340715961596,0.25320369275565136,0.7262377377504898,12,Endo
TCA cycle,0.19420726603047045,0.9125111129071365,0.028165037406003988,-0.608832401470034,-1.2581995958365026,6,Endo
Aerobic resp / OxPhos summary,0.08045977011494253,0.1810344827586207,0.06052368792651268,0.22332364724712095,1.1811180836678437,281,L2_3 IT
Complex I (NADH:UQ),0.030231737442653804,0.096617050067659,0.08950096550333726,0.343168352016086,1.4387035494481293,63,L2_3 IT
Complex III (UQ:Cyt c),0.7075247162211644,0.8839737108190091,0.012854766126872341,-0.2642361091021622,-0.834295909740018,22,L2_3 IT
Complex IV (CytOx),0.8721830184384247,0.8839737108190091,0.012944677983218876,0.19654819238595556,0.7623346693645727,44,L2_3 IT
Complex V (ATP syn),0.00518947622495776,0.04670528602461984,0.22105895805739045,0.3628077681874397,1.5896819879782578,80,L2_3 IT
Inner membrane,0.5591024249004705,0.8386536373507056,0.012861545679484788,-0.18574831329834696,-0.970494464155314,436,L2_3 IT
Mito import / fold,0.03220568335588633,0.096617050067659,0.09305686472719873,0.25927410281118557,1.3026176231443711,185,L2_3 IT
Mito translation,0.8839737108190091,0.8839737108190091,0.013912186548207828,0.17305617348278615,0.8168852748411538,122,L2_3 IT
TCA cycle,0.10548900411228321,0.18988020740210979,0.04074989306669643,-0.3565546030646779,-1.3082231273324136,41,L2_3 IT
Aerobic resp / OxPhos summary,0.8724191063174114,0.9814714946070878,0.011875072258673815,-0.16682822380893458,-0.8638865518064448,275,L4 IT
Complex I (NADH:UQ),0.8485149498360981,0.9814714946070878,0.01181572566902591,0.19403758465071202,0.7973788193656491,63,L4 IT
Complex III (UQ:Cyt c),0.4616072315486242,0.8308930167875236,0.018543935533145716,-0.3082899771085365,-0.9945438248991046,22,L4 IT
Complex IV (CytOx),0.6806193806193807,0.9814714946070878,0.014193526845949793,-0.23151161029101225,-0.8742324554892767,42,L4 IT
Complex V (ATP syn),0.9996948118006104,0.9996948118006104,0.010380076389170472,-0.11709265354176737,-0.5044493891281345,80,L4 IT
Inner membrane,0.171334431630972,0.7097163548581774,0.03386934869476353,-0.2027233316433594,-1.0992554296544323,423,L4 IT
Mito import / fold,0.372125160398776,0.8308930167875236,0.021168246103071588,0.21041844253770497,1.0299669170841566,179,L4 IT
Mito translation,0.23657211828605915,0.7097163548581774,0.027947416600257076,-0.24032682384643433,-1.1124282029070214,121,L4 IT
TCA cycle,0.13761283851554665,0.7097163548581774,0.0375968073968915,-0.3354533452914527,-1.2589016710466865,41,L4 IT
Aerobic resp / OxPhos summary,0.5796648044692737,0.94019970829126,0.012783220598669126,-0.24216590608662408,-0.9342354396898169,61,L5 ET
Complex I (NADH:UQ),0.6576803560930545,0.94019970829126,0.012717585153167826,-0.32184850461007974,-0.8594017288679467,13,L5 ET
Complex III (UQ:Cyt c),0.94019970829126,0.94019970829126,0.012013424132044521,0.27658169533170995,0.5792659270345787,5,L5 ET
Complex IV (CytOx),0.40791799222340047,0.94019970829126,0.0186248800337419,-0.4768434595245906,-1.052017232944691,7,L5 ET
Complex V (ATP syn),0.8430366760707874,0.94019970829126,0.010344836260201636,-0.27992610375970794,-0.7120764679487201,11,L5 ET
Inner membrane,0.721258310361602,0.94019970829126,0.01907669863484328,0.19579513535625312,0.8858490619342768,84,L5 ET
Mito import / fold,0.7321955003878976,0.94019970829126,0.010792430726885092,-0.234115672520962,-0.8381830331709241,42,L5 ET
Mito translation,0.86524209486166,0.94019970829126,0.013895378895180508,0.2464303144604933,0.7018215676426666,13,L5 ET
TCA cycle,0.5093613747114645,0.94019970829126,0.015662173629785548,-0.37905436273089943,-0.9642390907768675,11,L5 ET
Aerobic resp / OxPhos summary,0.9224521369174241,0.9992895564802599,0.010682623124253271,-0.16635666963191703,-0.8393370092575922,272,L5 IT
Complex I (NADH:UQ),0.2863575887831338,0.8210016388701437,0.02529712442757016,0.27139793600381124,1.0971479328661322,63,L5 IT
Complex III (UQ:Cyt c),0.31469428007889544,0.8210016388701437,0.023415778035147734,-0.34799770492938376,-1.1036036500817654,22,L5 IT
Complex IV (CytOx),0.9549196393571149,0.9992895564802599,0.010466628150457468,-0.18171448165072726,-0.66766827564835,40,L5 IT
Complex V (ATP syn),0.9992895564802599,0.9992895564802599,0.010360368142817843,0.1308860021579168,0.551290307142736,78,L5 IT
Inner membrane,0.3648896172756194,0.8210016388701437,0.021116489656536907,-0.19454235966010403,-1.026678203362502,416,L5 IT
Mito import / fold,0.8950440303092361,0.9992895564802599,0.011578576484459079,0.17292619477307497,0.8329951681703129,178,L5 IT
Mito translation,0.6819749679708288,0.9992895564802599,0.014026109593601803,-0.20007599362803213,-0.9044323199346788,121,L5 IT
TCA cycle,0.04047432379459036,0.36426891415131324,0.07029704592475078,-0.3959265625202442,-1.4547415422254109,40,L5 IT
Aerobic resp / OxPhos summary,0.8443227091633466,0.9148851939825812,0.011894534593445201,-0.1735165270431023,-0.8636975320207229,213,L5_6 NP
Complex I (NADH:UQ),0.6919099756690997,0.8895985401459854,0.014174589353571916,0.22292829748440293,0.8719762659627436,52,L5_6 NP
Complex III (UQ:Cyt c),0.04949414798651061,0.44544733187859553,0.06380592845298738,-0.5104784405757963,-1.514807053513354,17,L5_6 NP
Complex IV (CytOx),0.48422231270358307,0.7778165503489531,0.018262483265439014,0.2890889334880444,0.9785209321669263,28,L5_6 NP
Complex V (ATP syn),0.2264957264957265,0.6794871794871795,0.028450241563914947,-0.2786384610174931,-1.1409435553239826,64,L5_6 NP
Inner membrane,0.5185443668993021,0.7778165503489531,0.017209268834271606,-0.1897382506069062,-0.9793054794214561,286,L5_6 NP
Mito import / fold,0.13923046410154702,0.6265370884569615,0.0371337953554478,-0.25266953185242313,-1.1812311244362586,134,L5_6 NP
Mito translation,0.9148851939825812,0.9148851939825812,0.011004782757678886,-0.17909017015831127,-0.753250813360138,73,L5_6 NP
TCA cycle,0.5133674071161785,0.7778165503489531,0.01716021474708108,-0.2706817949612956,-0.9634725337216792,34,L5_6 NP
Aerobic resp / OxPhos summary,1,1,0.01214139692602494,0.1243132125942773,0.6193497995889029,203,L6 CT
Complex I (NADH:UQ),0.791416402751993,1,0.013533594819260955,0.21151759367442424,0.8205711044758514,48,L6 CT
Complex III (UQ:Cyt c),0.9626758541487224,1,0.010142018104490646,-0.19914005107563681,-0.5744377422782552,16,L6 CT
Complex IV (CytOx),0.9948088721094857,1,0.00966523970605835,-0.15246538982778945,-0.49472962827046674,25,L6 CT
Complex V (ATP syn),0.993430057486997,1,0.009333928846657109,-0.1508147561187285,-0.595335487315013,60,L6 CT
Inner membrane,0.3911769630001674,1,0.01847660618654446,-0.20472365236477144,-1.0219020318612182,273,L6 CT
Mito import / fold,0.35784881132579466,1,0.020344062807521008,-0.2329159826583826,-1.0454549729155116,124,L6 CT
Mito translation,0.5312699135184342,1,0.01589363973407555,-0.23334641850435006,-0.9568420516417144,73,L6 CT
TCA cycle,0.06816486385676986,0.6134837747109287,0.052394394348549235,-0.3984957070552001,-1.3943249567187839,34,L6 CT
Aerobic resp / OxPhos summary,0.9974348365742656,0.9974348365742656,0.008283218787186747,-0.14265419867036486,-0.6981056189590583,223,L6 IT
Complex I (NADH:UQ),0.9948769350707206,0.9974348365742656,0.011355393145741783,0.14646845437167394,0.5895140520895396,56,L6 IT
Complex III (UQ:Cyt c),0.23955484296897103,0.7352395098403268,0.026749431524803784,-0.40224410132522515,-1.1852669343188387,17,L6 IT
Complex IV (CytOx),0.43878504672897195,0.7898130841121496,0.01842002834880483,-0.2997687894395881,-1.0071714511318295,28,L6 IT
Complex V (ATP syn),0.954570184983678,0.9974348365742656,0.009677848182785158,-0.1725480150175806,-0.7014164438782874,68,L6 IT
Inner membrane,0.2684265762492936,0.7352395098403268,0.02284740525997824,-0.2103663351288127,-1.0701929222867668,317,L6 IT
Mito import / fold,0.2140845070422535,0.7352395098403268,0.032207893857401755,0.23513868278828887,1.1132351296004972,137,L6 IT
