"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","cell_type","cohort"
"SST...2083","SST",-0.585047693051277,5.54238487879191,-0.688988802353024,0.497397943832821,0.999372725389594,-4.60529031450682,"Astro","Bat"
"SST...5040","SST",-1.34953510467997,2.8899183591537,-3.48269744502053,0.000908148966868147,0.0579360748399332,-0.7582370388433,"Astro","OFC"
"PVALB...9016","PVALB",-0.456590269895242,2.09299486500661,-1.65214451836466,0.103482273928683,0.366229046632487,-4.36255263247471,"Astro","OFC"
"PVALB...36764","PVALB",-0.176633516866503,0.496265758551239,-0.372670077893534,0.711815516135258,0.967483186671517,-4.87084234897582,"Astro","Mclean"
"SST...40211","SST",0.0132161319110017,2.77645576865337,0.029607778381179,0.976561090604409,0.997469693916128,-5.14893979345418,"Astro","Mclean"
"SST...60532","SST",0.0366124618873825,2.05812524111924,0.1455768755166,0.884423993752456,0.962312960967404,-5.53129615468089,"Astro","MSSM"
"SST...68817","SST",-0.580160538814996,2.37144926517074,-2.07077507945679,0.0403969712516975,0.392248164138719,-3.76822002405305,"Astro","HBCC"
"PVALB...73689","PVALB",-0.173943186125523,0.149298973544562,-0.779549396685718,0.437100472502957,0.838817240730321,-5.09566996834232,"Astro","HBCC"
"PVALB...101861","PVALB",-1.7098896439774,6.79946840178548,-2.90026483055066,0.00898486319267883,0.602788286821139,-2.49965730134531,"Chandelier","Bat"
"SST...110412","SST",-0.285394331704289,4.08935013491767,-0.28991551291924,0.774930938787037,0.954903415310737,-5.1912109624548,"Chandelier","Bat"
"PVALB...127674","PVALB",-0.0380001188031398,6.76162519780437,-0.245102053623845,0.807091529966844,0.971409995865101,-5.98530271554764,"Chandelier","OFC"
"PVALB...131976","PVALB",0.349215032144667,6.81946543207091,0.712324308141315,0.480223875533073,0.969247406758373,-4.80441316289635,"Chandelier","MtSinai"
"PVALB...135421","PVALB",-0.417577473666572,6.40879885795611,-1.62859172918391,0.111438870368023,0.999610558792743,-4.28147895295067,"Chandelier","Mclean"
"SST...136675","SST",-0.706561980834703,2.22537663376144,-1.23176119608535,0.225401767531814,0.999610558792743,-4.55355890585635,"Chandelier","Mclean"
"PVALB...154029","PVALB",0.11071812793816,6.00664937173281,0.835363965330897,0.404639752440506,0.904106534772177,-5.1450092918604,"Chandelier","MSSM"
"PVALB...162355","PVALB",0.213120559120929,6.1718120921056,1.48744274810202,0.139444439280846,0.601716846571111,-5.04608846634579,"Chandelier","HBCC"
"PVALB...181001","PVALB",0.159925627826227,5.37091782447493,0.288436586533619,0.776841105546588,0.999942146527742,-4.62576086108849,"Chandelier","Multi"
"SST...183842","SST",-1.24131739274556,7.53962004397331,-1.67246455604679,0.106518051287842,0.653055214070947,-4.32644049315644,"Endo","Bat"
"PVALB...233801","PVALB",-2.09473188305361,0.574643541883052,-2.52919245524118,0.0237288128196869,0.99957330605098,-4.476201327255,"L2_3 IT","Bat"
"SST...239525","SST",-1.3659988319421,2.84128642316575,-1.13321218881683,0.275709542865629,0.99957330605098,-4.58365598251329,"L2_3 IT","Bat"
"SST...266116","SST",-0.906639108980151,0.685095842056159,-2.55564044742933,0.0130800800667353,0.29305207139069,-2.88537642900094,"L2_3 IT","OFC"
"PVALB...271743","PVALB",-0.345968866286493,-0.224113610005909,-1.28667814257601,0.203017238808122,0.612990930371651,-4.70396175162188,"L2_3 IT","OFC"
"SST...291248","SST",1.10871670413987,0.281695340991523,2.12897791282716,0.0410366586541858,0.437109992977394,-3.70055209976298,"L2_3 IT","MtSinai"
"PVALB...304849","PVALB",-0.92113668427177,-1.13382520730565,-2.67229396584514,0.0118851501192528,0.546322875821423,-3.18843516996194,"L2_3 IT","Mclean"
"SST...306008","SST",-0.772650835019098,1.23650109385204,-1.76380035659438,0.0875864555829328,0.757383862181237,-4.16178597384151,"L2_3 IT","Mclean"
"SST...336640","SST",-0.0426190733432565,0.656001868085439,-0.209694073598021,0.834151249638685,0.958475160321815,-4.89323060188668,"L2_3 IT","MSSM"
"PVALB...354927","PVALB",-0.190313934255652,-1.22515276888267,-0.72850702903711,0.467657260041376,0.797282122852316,-5.04519451255604,"L2_3 IT","HBCC"
"SST...355174","SST",-0.252935471498396,0.773985075577789,-1.0659078904893,0.288506781829807,0.676311117076933,-5.066503341277,"L2_3 IT","HBCC"
"PVALB...398057","PVALB",-1.27154540218961,1.21717863186679,-1.74288549472025,0.10203441101726,0.999992364422395,-4.55157664113991,"L4 IT","Bat"
"SST...401393","SST",-1.4708206289438,3.19574223173001,-1.07334333144307,0.300265084077259,0.999992364422395,-4.59053026371329,"L4 IT","Bat"
"SST...421595","SST",-0.667766272518446,1.22501753412386,-1.97295381792943,0.0529011449863837,0.48739178055349,-3.86685455434621,"L4 IT","OFC"
"PVALB...421828","PVALB",-0.451677475689606,0.119121952714304,-1.89997204462943,0.0620250042953547,0.503553185518183,-3.96317525458723,"L4 IT","OFC"
"SST...454384","SST",-0.917574979940943,1.78889078302861,-2.05376064158404,0.0481681657213097,0.711337287114935,-3.78524786523764,"L4 IT","Mclean"
"PVALB...458914","PVALB",-0.132842766770379,-0.688674540564363,-0.282383675355727,0.779451059176514,0.983324900367983,-4.99141094593387,"L4 IT","Mclean"
"SST...476229","SST",-0.152146584031992,0.692567217924577,-0.608560796122738,0.543599849507825,0.998658484764041,-4.73056126664571,"L4 IT","MSSM"
"SST...495543","SST",-0.30647344566987,0.913699308652257,-1.33573368475344,0.184049798414365,0.599392366117637,-4.68256491544819,"L4 IT","HBCC"
"SST...541250","SST",0.374884115197251,3.15936597977505,0.503430323733343,0.621544783926357,0.942491399075134,-4.61571855843277,"L5 ET","Bat"
"PVALB...592703","PVALB",-1.16875493159347,0.755961108172805,-1.67071700949431,0.116153563674428,0.991827646435504,-4.55866986654925,"L5 IT","Bat"
"SST...611078","SST",0.0115000930146165,2.96371450961956,0.0109276100686048,0.99142971475224,0.999797680182731,-4.65501755066921,"L5 IT","Bat"
"SST...617490","SST",-0.687016779111224,0.927229285354946,-2.30596967424879,0.0244242941234209,0.279668280784579,-3.36060146493199,"L5 IT","OFC"
"PVALB...653738","PVALB",0.190384168661448,-1.18653766397053,0.386991347985041,0.701342964736848,0.962326026367275,-5.00075298511879,"L5 IT","Mclean"
"SST...657733","SST",-0.0992406058999134,1.51819894344758,-0.234781707644174,0.81588489034696,0.978685205529755,-5.45817129667833,"L5 IT","Mclean"
"SST...685436","SST",-0.453047613522611,0.628909050737835,-1.68860830233888,0.0938338160876816,0.502658360281169,-4.27752586987386,"L5 IT","HBCC"
"PVALB...733384","PVALB",-0.521410843270939,1.33721802161334,-0.750633369436256,0.463016257562834,0.840245004222216,-4.60222416327597,"L5_6 NP","Bat"
"SST...738742","SST",0.392787090165971,3.49138410251886,0.352775264158835,0.728541622950235,0.93576992315176,-4.62897591961477,"L5_6 NP","Bat"
"SST...764098","SST",-0.633568615754417,1.64703293491914,-1.25056657587315,0.219343165613967,0.790475999044088,-4.6225191520504,"L5_6 NP","Mclean"
"PVALB...825475","PVALB",-0.0575999946849883,0.956636467255656,-0.0949313582137664,0.925534345374061,0.984035232988666,-4.61423032096202,"L6 CT","Bat"
"SST...828178","SST",0.405831248564646,3.06234778097965,0.38761348514352,0.703350428406172,0.926434452109956,-4.63167951760814,"L6 CT","Bat"
"SST...851393","SST",-0.619617714312568,1.57155299545227,-1.28006024357042,0.2092936529247,0.738329219649622,-4.60245333287275,"L6 CT","Mclean"
"PVALB...914809","PVALB",0.414365670373006,0.87099285966592,0.733634672654631,0.473386210069401,0.799701193281439,-4.6046292603072,"L6 IT","Bat"
"SST...920711","SST",0.487421341078096,2.91920456156573,0.428229762988559,0.673977493790997,0.893151808244072,-4.62896442168881,"L6 IT","Bat"
"SST...952799","SST",-0.495655801971903,1.38085449212102,-1.16806251665561,0.251404111622495,0.758956485707757,-4.77705599410019,"L6 IT","Mclean"
"PVALB...954665","PVALB",0.0515248463668484,-0.883537585111155,0.096960837090252,0.923361770348483,0.991103272357676,-4.97055354081376,"L6 IT","Mclean"
"SST...1013535","SST",1.56848544558896,3.37811617388405,1.45200532616806,0.161653131314893,0.694405103060851,-4.5353372541101,"L6 IT Car3","Bat"
"PVALB...1017058","PVALB",0.905184052098875,1.32327767505031,1.04709394059572,0.307261064329831,0.760437540928024,-4.5934643623198,"L6 IT Car3","Bat"
"SST...1051934","SST",-0.0760814045042836,1.52912400080579,-0.110107392453329,0.912965971134978,0.996430726435537,-4.99343766989872,"L6 IT Car3","Mclean"
"PVALB...1096539","PVALB",-1.39963831669605,0.866613784195233,-2.12541130284277,0.0493020827135265,0.999668832712177,-4.55467749077208,"L6b","Bat"
"SST...1107008","SST",0.314630069371687,3.21908751876829,0.38343763838981,0.706389695473387,0.999668832712177,-4.62621763870697,"L6b","Bat"
"PVALB...1138298","PVALB",-0.00582101751670504,-0.571816051454569,-0.0113428770290304,0.991019888762358,0.998037876325664,-5.0754660762363,"L6b","Mclean"
"SST...1140458","SST",-0.111227771417951,1.70428143327285,-0.271240223511477,0.787937969416297,0.938088113491617,-5.31040442731851,"L6b","Mclean"
"PVALB...1189186","PVALB",-0.924675770505062,1.55301209371726,-1.4116428258427,0.177798438701185,0.989412859534413,-4.57403750684499,"Lamp5","Bat"
"SST...1197127","SST",-0.590845585927475,5.51018086348742,-0.96321394369613,0.350216005940519,0.989412859534413,-4.61170291961055,"Lamp5","Bat"
"PVALB...1212984","PVALB",-0.245978605515449,0.629596343478844,-0.831837183516318,0.408550841677933,0.808860038543083,-4.86168243259488,"Lamp5","OFC"
"SST...1222287","SST",-0.256201497429837,5.89306548783099,-0.787576320617696,0.433811255043377,0.821064901564897,-5.85975605177967,"Lamp5","OFC"
"SST...1234099","SST",-0.129986821018167,5.11839566223861,-0.253767379861858,0.801130084111672,0.979834493615231,-5.34416241384507,"Lamp5","MtSinai"
"SST...1236581","SST",-1.14539440174593,4.40810994670325,-2.82827853474784,0.00777051527029698,0.521247630466478,-2.4510601506168,"Lamp5","Mclean"
"SST...1260819","SST",-0.154919790890263,3.66467409187775,-0.678142330514549,0.498565881121836,0.994828804201392,-4.86898256114773,"Lamp5","MSSM"
"SST...1281195","SST",-0.201886382418936,3.95494731425916,-0.769240821104177,0.443176208144323,0.825351608771302,-5.5677902425315,"Lamp5","HBCC"
"SST...1296946","SST",0.397197617044009,3.30755300399353,0.336073081467438,0.742059748160165,0.999217437973771,-4.6212329443475,"Lamp5","Multi"
"SST...1301649","SST",-0.978582487327273,3.78443927432857,-3.31495823706733,0.00150141918081588,0.197451942881174,-1.30955327942705,"Micro-PVM","OFC"
"SST...1324205","SST",0.304260002760928,3.18458324963896,1.18539645405061,0.237450797937304,0.670389968067079,-4.9018978042011,"Micro-PVM","MSSM"
"SST...1339325","SST",-0.187550051926892,3.5897120285365,-0.869003281788884,0.386465153293274,0.821705677130617,-5.30671483206337,"Micro-PVM","HBCC"
"SST...1361706","SST",-1.2113471159357,3.43566242872333,-4.08966515500256,0.000121955024727157,0.0438660609179325,0.83932435449718,"Oligo","OFC"
"PVALB...1363125","PVALB",-0.507822730589736,2.47595265704512,-1.85928104488456,0.0675400171479685,0.543758531861061,-4.03975989335449,"Oligo","OFC"
"SST...1380566","SST",-0.301220787133642,2.42992002622631,-0.529083472338613,0.600104562997801,0.974984476796744,-4.94326014203025,"Oligo","MtSinai"
"SST...1390260","SST",-0.476241318095205,3.68904493786233,-1.18690241691229,0.243607460749801,0.999437828988673,-4.56533785772879,"Oligo","Mclean"
"PVALB...1390388","PVALB",-0.458807817310859,1.12916071807392,-1.16455303371967,0.252418994962077,0.999437828988673,-4.57495700016909,"Oligo","Mclean"
"PVALB...1406607","PVALB",0.28017855551284,0.230431948886319,1.7675283552524,0.0788774438979563,0.250158884107029,-4.3994839465638,"Oligo","MSSM"
"SST...1415909","SST",0.162314006320391,2.6588732942055,0.739259753866815,0.460736807088492,0.671621001587255,-5.99192592891993,"Oligo","MSSM"
"SST...1422976","SST",-0.565623533098175,2.81297859399092,-2.62366289693572,0.00975997396686855,0.319029552257531,-2.71417361869578,"Oligo","HBCC"
"PVALB...1431392","PVALB",-0.0927311821588109,0.262042449866574,-0.586745933422809,0.558411308782321,0.92033242196486,-5.23550825479919,"Oligo","HBCC"
"SST...1458978","SST",-0.916018992314301,2.62470418964528,-2.28963244166462,0.025273588757892,0.40014559511838,-3.37540061182928,"OPC","OFC"
"PVALB...1461593","PVALB",-0.396463153535036,1.61497475842194,-1.22418072453265,0.225269908477001,0.718894610266383,-4.74036691263896,"OPC","OFC"
"SST...1486840","SST",0.277511569403489,2.87068737202173,0.640955465014769,0.525618619586996,0.97393251105528,-4.88322770338291,"OPC","Mclean"
"SST...1501441","SST",0.2205268081221,2.13122589021766,0.912999427364766,0.362497900684907,0.815821725360362,-4.87094216711295,"OPC","MSSM"
"SST...1513996","SST",-0.611839319179623,2.35453614245555,-2.55762203080778,0.011701295522097,0.391821023886372,-2.82133086945739,"OPC","HBCC"
"SST...1547466","SST",-1.27911532004404,4.66608954982653,-1.61593744195937,0.124156657114617,0.998429506811258,-4.52198355608929,"Pax6","Bat"
"PVALB...1550103","PVALB",-1.31106546223592,1.44377541813276,-1.31171083577106,0.206721642959986,0.998429506811258,-4.58710720632881,"Pax6","Bat"
"SST...1571804","SST",-0.271453679597249,5.5226884429521,-0.885910992983688,0.378664115423487,0.892661882726665,-5.15498088577409,"Pax6","OFC"
"SST...1583125","SST",-0.683963383600081,3.65042670298377,-1.68228697715906,0.100350389273676,0.991247096897669,-4.28048473039889,"Pax6","Mclean"
"PVALB...1621621","PVALB",-0.776806730271916,6.09860551800191,-1.77488629794482,0.0952370327070654,0.68281777356486,-4.22488873286634,"Pvalb","Bat"
"SST...1640731","SST",-0.446486023347107,4.67738004521448,-0.572867932018706,0.574819927691423,0.843099567075991,-5.2553422736084,"Pvalb","Bat"
"SST...1648503","SST",-0.504268305417355,4.69925058815496,-1.72861005601776,0.0887161019691399,0.448229513574331,-4.658879704088,"Pvalb","OFC"
"PVALB...1661441","PVALB",-0.0597135347276779,5.8676034497175,-0.342399984388539,0.733175415578598,0.911966099736634,-6.19393872242388,"Pvalb","OFC"
"PVALB...1671606","PVALB",0.165163563797113,5.44659100429173,0.338098869725916,0.737313467856753,0.994252207273094,-5.37995092706404,"Pvalb","MtSinai"
"SST...1678423","SST",-0.539243678414909,3.59024374717262,-1.31144931161106,0.198663828889257,0.782761695711023,-4.8483607703981,"Pvalb","Mclean"
"PVALB...1681031","PVALB",-0.329691363594534,4.86991236424107,-1.24108863887966,0.223232637048821,0.796458589320252,-5.07325804118904,"Pvalb","Mclean"
"SST...1697214","SST",0.207085046725501,2.79367396345073,0.93533934704348,0.350892652479975,0.808695993949486,-4.88931075339859,"Pvalb","MSSM"
"PVALB...1704432","PVALB",-0.0537776828530172,4.49840305088541,-0.381887299498868,0.703004800828738,0.939119621809256,-5.30053424982858,"Pvalb","MSSM"
"SST...1710037","SST",-0.303191669484089,3.09776771869634,-1.79321581684893,0.0753514742157615,0.580756830211184,-4.28808222144436,"Pvalb","HBCC"
"PVALB...1719374","PVALB",0.150115465024141,4.65484008514079,1.22178106426191,0.224084814431211,0.75190798370157,-5.28271583574677,"Pvalb","HBCC"
"PVALB...1732335","PVALB",-0.495172897885837,3.84750083179848,-1.08576450212792,0.301773364122832,0.999851651104933,-4.58968764477181,"Pvalb","Multi"
"SST...1739876","SST",0.541992673999808,2.82972360670876,0.588392575223154,0.568653090099925,0.999851651104933,-4.61599114495082,"Pvalb","Multi"
"PVALB...1750082","PVALB",-0.948403699507205,2.46305767257904,-1.30580030575876,0.208440716503629,0.999891605035148,-4.58371587976223,"Sncg","Bat"
"SST...1760912","SST",-0.431534569320703,6.1532626063186,-0.658786102450487,0.518564370775405,0.999891605035148,-4.6556003957521,"Sncg","Bat"
"SST...1771904","SST",-0.282965462981878,5.30465028719606,-1.04853562680436,0.298026219988239,0.75637544334986,-5.2610462538179,"Sncg","OFC"
"SST...1778654","SST",-0.711563520172073,5.23449075782023,-1.49362130561715,0.142933857887267,0.993087456068863,-4.50789920220643,"Sncg","MtSinai"
"SST...1785953","SST",-0.674468327110845,4.40726044452262,-2.00076726987381,0.0522289006004205,0.926286532006549,-3.83954926436786,"Sncg","Mclean"
"SST...1805441","SST",0.0565225354754392,4.34518331544419,0.241217966730751,0.809661599621071,0.998356571416597,-4.90708411379155,"Sncg","MSSM"
"SST...1816832","SST",-0.137244905027462,4.8691134294657,-0.644787695450058,0.520250901324662,0.897691604015991,-5.51085074049857,"Sncg","HBCC"
"SST...1823457","SST",-1.42797028741452,3.3169119864404,-1.45280462882688,0.163808415766151,0.993452993294945,-4.58068488174451,"Sncg","Multi"
"PVALB...1845561","PVALB",-0.347880450313872,1.90662612360965,-0.525276252530147,0.606662314701234,0.950563831492494,-4.61716981149278,"Sst","Bat"
"SST...1854122","SST",-0.327940582744391,8.39404567482248,-0.448612016168919,0.659784306972271,0.958761186487733,-4.72443789206052,"Sst","Bat"
"SST...1856083","SST",-0.574800071741061,9.30757809960537,-2.46988908933102,0.0161231778917654,0.234240820284121,-3.5970168474972,"Sst","OFC"
"SST...1879910","SST",-0.127543929702953,8.20556602732767,-0.230612242175914,0.818852883390234,0.982657353909729,-5.27354706315176,"Sst","MtSinai"
"SST...1880612","SST",-0.848136054991636,7.75462925821228,-2.33127339168592,0.02574803291003,0.74058033744002,-3.47221921859785,"Sst","Mclean"
"PVALB...1882197","PVALB",0.663807270311285,0.211748267203563,1.48140387678688,0.147627721301579,0.819944351442535,-4.41670810813129,"Sst","Mclean"
"SST...1910065","SST",-0.0320628064348751,6.83445408275065,-0.125171136903641,0.900530940468045,0.994294830079575,-5.30818231352453,"Sst","MSSM"
"SST...1910680","SST",-0.611903135642248,7.53700741955704,-3.34809956273506,0.00107669126516372,0.0935885944007041,-0.987128702579422,"Sst","HBCC"
"SST...1944142","SST",0.381911365619765,7.0528452032223,0.367179950110962,0.719481466202415,0.99983949592719,-4.72128060257167,"Sst","Multi"
"SST...1952166","SST",-0.337199019769381,10.8544187164704,-0.638098466320008,0.530183864131071,0.998687319785255,-4.64353832635925,"Sst Chodl","Bat"
"SST...1952555","SST",-0.637182492221682,10.1290712251601,-1.47382959512432,0.144894375208769,0.990242931969213,-4.45061153070685,"Sst Chodl","OFC"
"SST...1955718","SST",-0.806834892257021,10.9535642739905,-1.06994417062436,0.294504364960996,0.998724847055363,-4.59221385811229,"Sst Chodl","MtSinai"
"SST...1962351","SST",0.156452894281746,9.26884059131135,0.280079597777705,0.78069869053743,0.995873714670216,-4.68455442234908,"Sst Chodl","Mclean"
"SST...1965400","SST",-0.154256162302911,9.04652208111862,-0.336834630181167,0.736874382509026,0.994028230759581,-5.17635299662223,"Sst Chodl","MSSM"
"SST...1968812","SST",-0.237901325676504,8.78764623656932,-0.605700059019306,0.546047752145589,0.998926161349576,-4.88316552212983,"Sst Chodl","HBCC"
"SST...1969770","SST",-2.18627425680608,6.73466489989977,-1.79309752262059,0.0913024863912984,0.672845617358933,-4.32028998534569,"Sst Chodl","Multi"
"PVALB...1977682","PVALB",-0.737083822257455,2.08916071311384,-1.21193277502293,0.244196970721676,0.999935428893332,-4.58016089565936,"Vip","Bat"
"SST...1988360","SST",-0.857209068709071,4.47970031608826,-0.861293942273045,0.402571945922809,0.999935428893332,-4.62948483447538,"Vip","Bat"
"SST...1999073","SST",-0.71021354019256,3.38477792232356,-2.29902216864371,0.0247573905432034,0.288531141173562,-3.41928066067864,"Vip","OFC"
"PVALB...2005602","PVALB",-0.192479860721875,0.939434694708593,-0.694358294832567,0.489954772384637,0.784251038305443,-5.00877293650522,"Vip","OFC"
"SST...2022669","SST",0.021913494771935,2.56196095177098,0.0405828890915934,0.967859115156343,0.995129712780521,-5.11979499698642,"Vip","MtSinai"
"SST...2031141","SST",-0.559755092059202,2.88240825008669,-1.5470665252781,0.130979529163845,0.781649195624557,-4.35458564059395,"Vip","Mclean"
"PVALB...2033931","PVALB",-0.253220066559687,0.124791955562623,-0.490602549214087,0.626816069910166,0.935500117108026,-4.740913100679,"Vip","Mclean"
"SST...2055434","SST",0.067406753541997,1.66498350721095,0.326917334986973,0.744119930570312,0.977190433183155,-4.84376989172356,"Vip","MSSM"
"SST...2070111","SST",-0.289072155665051,1.99983916682733,-1.38214455508029,0.169355441530244,0.588961097649288,-4.69181865883663,"Vip","HBCC"
"PVALB...2074249","PVALB",-0.0508851072824148,-0.19172675111699,-0.212819441520718,0.831809313783093,0.950911094318918,-5.14596250739639,"Vip","HBCC"
"SST...2091618","SST",0.695263407362804,1.14930567880105,0.907734764801523,0.380276982779611,0.996216330545019,-4.59881583789088,"Vip","Multi"
"SST...2105265","SST",-0.411507750456636,4.29278866621942,-1.36735256441501,0.176160697946034,0.838024107982364,-4.592789608838,"VLMC","OFC"
