celltype,donor,gene,count
Astrocyte,Br1113,A2M,1126
Astrocyte,Br1113,ABCA2,9653
Astrocyte,Br1113,ABCG2,588
Astrocyte,Br1113,ACO1,4724
Astrocyte,Br1113,ACTA2,2882
Astrocyte,Br1113,ACY3,279
Astrocyte,Br1113,ADAM28,1141
Astrocyte,Br1113,ADCYAP1,869
Astrocyte,Br1113,ADCYAP1R1,17902
Astrocyte,Br1113,ADIRF,337
Astrocyte,Br1113,AIF1,210
Astrocyte,Br1113,AJ009632.2,449
Astrocyte,Br1113,AK5,9478
Astrocyte,Br1113,AKAP8L,2785
Astrocyte,Br1113,AKT1,5015
Astrocyte,Br1113,ALCAM,5655
Astrocyte,Br1113,ALDH1A1,3175
Astrocyte,Br1113,ALOX5AP,163
Astrocyte,Br1113,ANLN,417
Astrocyte,Br1113,APOLD1,610
Astrocyte,Br1113,AQP1,2973
Astrocyte,Br1113,AQP4,122749
Astrocyte,Br1113,ARPC1B,364
Astrocyte,Br1113,ARPP19,4912
Astrocyte,Br1113,ARRDC3,1364
Astrocyte,Br1113,ATP2B4,12785
Astrocyte,Br1113,BAIAP3,1557
Astrocyte,Br1113,BCAS1,2661
Astrocyte,Br1113,BCL6,5268
Astrocyte,Br1113,BDNF,255
Astrocyte,Br1113,BLCAP,3062
Astrocyte,Br1113,C14orf132,9374
Astrocyte,Br1113,C1QA,1444
Astrocyte,Br1113,C1QB,725
Astrocyte,Br1113,C1QL2,1364
Astrocyte,Br1113,C1orf61,43757
Astrocyte,Br1113,C3,1567
Astrocyte,Br1113,C4A,18257
Astrocyte,Br1113,CABP1,7987
Astrocyte,Br1113,CACNA1C,1456
Astrocyte,Br1113,CALB1,814
Astrocyte,Br1113,CALB2,619
Astrocyte,Br1113,CAMK2N1,66338
Astrocyte,Br1113,CAPN3,1217
Astrocyte,Br1113,CAPZB,5177
Astrocyte,Br1113,CARTPT,598
Astrocyte,Br1113,CASC3,6615
Astrocyte,Br1113,CCK,4687
Astrocyte,Br1113,CCNI,38931
Astrocyte,Br1113,CD52,14
Astrocyte,Br1113,CD53,222
Astrocyte,Br1113,CD68,471
Astrocyte,Br1113,CD74,1559
Astrocyte,Br1113,CFAP36,5343
Astrocyte,Br1113,CHI3L1,2010
Astrocyte,Br1113,CHST1,12135
Astrocyte,Br1113,CLDN11,588
Astrocyte,Br1113,CLDN5,541
Astrocyte,Br1113,CLDND1,6298
Astrocyte,Br1113,CNDP1,685
Astrocyte,Br1113,CNN3,29244
Astrocyte,Br1113,CNP,8295
Astrocyte,Br1113,COMT,3185
Astrocyte,Br1113,CORT,514
