CellType,mean_prop,n_donors
Oligo,0.24791057451120807,469
L2_3 IT,0.149489038486423,469
Astro,0.12716073132693165,469
OPC,0.06695650003986342,469
L4 IT,0.05569379619023233,469
Vip,0.05489453992176584,469
Micro-PVM,0.043790544770040914,469
Pvalb,0.041583607188419566,469
L5 IT,0.04098015201105136,469
Sst,0.039423761228042566,469
Lamp5,0.02071530414773491,469
VLMC,0.01770483472046905,469
L6 IT,0.016264796223976107,469
Endo,0.014137791072291501,469
Sncg,0.011261155342520479,469
L6 CT,0.009625400154937984,469
Chandelier,0.008853539030109688,469
L6b,0.008711713085863122,469
Lamp5_Lhx6,0.007184014629817472,469
L5_6 NP,0.006760303665883417,469
L6 IT Car3,0.005153368395011622,469
Pax6,0.004211419305957126,469
L5 ET,0.0010432238181845444,469
Sst Chodl,4.898907332644577e-4,469
