query_set,source,term_name,p_value,term_size,intersection_size,intersection
up,GO:MF,"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity",0.07053754505169495,2,2,"ALG10B,ALG10"
up,GO:MF,I-SMAD binding,0.10746846270047497,13,3,"SMAD1,SMAD9,ACVR1B"
up,GO:MF,dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity,0.13889890517019768,4,2,"ALG10B,ALG10"
up,GO:MF,quinone reductase (NADPH) activity,0.18843001511896063,1,1,CRYZ
up,GO:MF,complement receptor activity,0.18843001511896063,1,1,C5AR1
up,GO:MF,complement component C5a receptor activity,0.18843001511896063,1,1,C5AR1
up,GO:MF,prolactin receptor activity,0.18843001511896063,1,1,PRLR
up,GO:MF,opsonin receptor activity,0.18843001511896063,1,1,C5AR1
up,GO:MF,metal ion transmembrane transporter activity,0.18843001511896063,295,9,"SLC38A1,ATP2B4,CACHD1,SLC9A9,MRS2,RYR1,ATP2C1,TRPM3,SCN3A"
up,GO:MF,bicarbonate binding,0.18843001511896063,1,1,ADCY10
up,GO:MF,2-iminobutanoate deaminase activity,0.18843001511896063,1,1,RIDA
up,GO:MF,2-iminopropanoate deaminase activity,0.18843001511896063,1,1,RIDA
up,GO:MF,nitric-oxide synthase inhibitor activity,0.18843001511896063,1,1,ATP2B4
up,GO:MF,2-iminobutanoate/2-iminopropanoate deaminase activity,0.18843001511896063,1,1,RIDA
up,GO:MF,neurexin family protein binding,0.18843001511896063,11,2,"LRRTM2,SYTL2"
up,GO:MF,3-hydroxyisobutyryl-CoA hydrolase activity,0.18843001511896063,1,1,HIBCH
up,GO:MF,P-type calcium transporter activity,0.18843001511896063,6,2,"ATP2B4,ATP2C1"
up,GO:MF,steroid binding,0.18843001511896063,71,4,"AR,ERLIN1,TMEM97,OSBPL9"
up,GO:MF,immune receptor activity,0.18843001511896063,36,3,"C5AR1,PRLR,GHR"
up,GO:MF,"glucan 1,4-alpha-glucosidase activity",0.18843001511896063,1,1,MGAM
up,GO:MF,L-glutamine transmembrane transporter activity,0.18843001511896063,6,2,"SLC38A1,SLC38A6"
up,GO:MF,"oligo-1,6-glucosidase activity",0.18843001511896063,1,1,MGAM
up,GO:MF,N-acyltransferase activity,0.18843001511896063,58,4,"JADE1,CERS6,GLYATL2,NMT2"
up,GO:MF,cyclase activity,0.18843001511896063,14,2,"ADCY10,GUCY1A2"
up,GO:MF,short-chain fatty acyl-CoA hydrolase activity,0.18843001511896063,1,1,HIBCH
up,GO:MF,calcium ion transmembrane transporter activity,0.18843001511896063,102,5,"ATP2B4,CACHD1,RYR1,ATP2C1,TRPM3"
up,GO:MF,glucuronate-2-sulfatase activity,0.18843001511896063,1,1,ARSK
up,GO:MF,nucleobase-containing compound kinase activity,0.18843001511896063,38,3,"AK4,N4BP2,MAGI3"
up,GO:MF,"RNA endonuclease activity producing 3'-phosphomonoesters, hydrolytic mechanism",0.18843001511896063,1,1,RIDA
up,GO:MF,lipid binding,0.18843001511896063,536,14,"AR,INTU,ERLIN1,TMEM97,PRLR,TULP3,GOLPH3L,SYTL2,ZCCHC2,SH3GLB1,GHR,OSBPL9,SPART,TRPM3"
up,GO:MF,5-formyltetrahydrofolate cyclo-ligase activity,0.18843001511896063,1,1,MTHFS
up,GO:MF,P-type manganese transporter activity,0.18843001511896063,1,1,ATP2C1
up,GO:MF,P-type ion transporter activity,0.19700159645855989,15,2,"ATP2B4,ATP2C1"
up,GO:MF,P-type transmembrane transporter activity,0.19700159645855989,15,2,"ATP2B4,ATP2C1"
up,GO:MF,peptidyl-lysine N6-myristoyltransferase activity,0.23055737351080444,2,1,NMT2
up,GO:MF,glycine N-acyltransferase activity,0.23055737351080444,2,1,GLYATL2
up,GO:MF,intraciliary transport particle A binding,0.23055737351080444,2,1,TULP3
up,GO:MF,androgen binding,0.23055737351080444,2,1,AR
up,GO:MF,sterol binding,0.23055737351080444,52,3,"ERLIN1,TMEM97,OSBPL9"
up,GO:MF,hormone binding,0.23055737351080444,49,3,"AR,PRLR,GHR"
up,GO:MF,translation regulator activity,0.23055737351080444,46,3,"PAIP2B,FXR1,PABPC1"
up,GO:MF,cyclo-ligase activity,0.23055737351080444,2,1,MTHFS
up,GO:MF,phosphorus-oxygen lyase activity,0.23055737351080444,17,2,"ADCY10,GUCY1A2"
up,GO:MF,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity",0.23055737351080444,2,1,MGAT5
up,GO:MF,nucleoside monophosphate kinase activity,0.23055737351080444,19,2,"AK4,MAGI3"
up,GO:MF,glycylpeptide N-tetradecanoyltransferase activity,0.23055737351080444,2,1,NMT2
up,GO:MF,glycine:sodium symporter activity,0.23055737351080444,2,1,SLC38A1
up,GO:MF,amylase activity,0.23055737351080444,2,1,MGAM
up,GO:MF,chondroitin-glucuronate 5-epimerase activity,0.23055737351080444,2,1,DSE
up,GO:MF,nucleoside triphosphate adenylate kinase activity,0.23055737351080444,2,1,AK4
up,GO:MF,POU domain binding,0.23055737351080444,2,1,AR
up,GO:MF,glucosyltransferase activity,0.23055737351080444,17,2,"ALG10B,ALG10"
up,GO:MF,carbohydrate binding,0.2403964934106359,140,5,"CNTN1,MGAM,DCDC1,LGALS8,GALNT13"
up,GO:MF,ubiquitin protein ligase binding,0.2701005033430345,250,7,"SHPRH,BLZF1,SMAD1,ERLIN1,ACVR1B,MID1,SPART"
up,GO:MF,inhibin binding,0.2720660673981177,3,1,ACVR1B
up,GO:MF,methylation-dependent protein binding,0.2720660673981177,3,1,L3MBTL3
up,GO:MF,myosin light chain binding,0.2720660673981177,3,1,SPATA6L
up,GO:MF,"phosphatidylinositol-4,5-bisphosphate binding",0.2720660673981177,60,3,"TULP3,SYTL2,TRPM3"
up,GO:MF,histone H3K4me/H3K4me2/H3K4me3 demethylase activity,0.2720660673981177,3,1,KDM5A
up,GO:MF,histone demethylase activity,0.2720660673981177,25,2,"RSBN1,KDM5A"
up,GO:MF,SMAD binding,0.2720660673981177,61,3,"SMAD1,SMAD9,ACVR1B"
up,GO:MF,growth hormone receptor activity,0.2720660673981177,3,1,GHR
up,GO:MF,ryanodine-sensitive calcium-release channel activity,0.2720660673981177,3,1,RYR1
up,GO:MF,dAMP kinase activity,0.2720660673981177,3,1,AK4
up,GO:MF,"alpha-1,4-glucosidase activity",0.2720660673981177,3,1,MGAM
up,GO:MF,peptide hormone binding,0.2720660673981177,25,2,"PRLR,GHR"
up,GO:MF,ubiquitin-like protein ligase binding,0.27537365667526975,263,7,"SHPRH,BLZF1,SMAD1,ERLIN1,ACVR1B,MID1,SPART"
up,GO:MF,protein demethylase activity,0.2802908387983123,26,2,"RSBN1,KDM5A"
up,GO:MF,polynucleotide 5'-hydroxyl-kinase activity,0.29623857089846695,4,1,N4BP2
up,GO:MF,ATP-dependent polynucleotide 5'-hydroxyl-kinase activity,0.29623857089846695,4,1,N4BP2
up,GO:MF,ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity,0.29623857089846695,4,1,N4BP2
up,GO:MF,CMP kinase activity,0.29623857089846695,4,1,AK4
up,GO:MF,proline:sodium symporter activity,0.29623857089846695,4,1,SLC38A1
up,GO:MF,phosphatidylinositol binding,0.29623857089846695,218,6,"INTU,TULP3,GOLPH3L,SYTL2,ZCCHC2,TRPM3"
up,GO:MF,dCMP kinase activity,0.29623857089846695,4,1,AK4
up,GO:MF,alanine:sodium symporter activity,0.29623857089846695,4,1,SLC38A1
up,GO:MF,sphingosine N-acyltransferase activity,0.29623857089846695,4,1,CERS6
up,GO:MF,neutral L-amino acid transmembrane transporter activity,0.29623857089846695,29,2,"SLC38A1,SLC38A6"
up,GO:MF,guanylate cyclase activity,0.29623857089846695,4,1,GUCY1A2
up,GO:MF,histone H4K20 demethylase activity,0.29623857089846695,4,1,RSBN1
up,GO:MF,monoatomic cation transmembrane transporter activity,0.32462088316947096,407,9,"SLC38A1,ATP2B4,CACHD1,SLC9A9,MRS2,RYR1,ATP2C1,TRPM3,SCN3A"
up,GO:MF,histone H4 demethylase activity,0.33091658366896515,5,1,RSBN1
up,GO:MF,cytokine receptor activity,0.33091658366896515,33,2,"PRLR,GHR"
up,GO:MF,protein phosphatase 2B binding,0.33091658366896515,5,1,ATP2B4
up,GO:MF,NADPH dehydrogenase activity,0.33091658366896515,5,1,CRYZ
up,GO:MF,RNA strand annealing activity,0.33091658366896515,5,1,FXR1
up,GO:MF,demethylase activity,0.33091658366896515,32,2,"RSBN1,KDM5A"
up,GO:MF,calcium-induced calcium release activity,0.33091658366896515,5,1,RYR1
up,GO:MF,voltage-gated calcium channel activity,0.33091658366896515,33,2,"CACHD1,RYR1"
up,GO:MF,co-SMAD binding,0.3411335031063963,6,1,SMAD1
up,GO:MF,chondroitin sulfate binding,0.3411335031063963,6,1,DPYSL3
up,GO:MF,histone H3K4 demethylase activity,0.3411335031063963,6,1,KDM5A
up,GO:MF,neutral L-amino acid:sodium symporter activity,0.3411335031063963,6,1,SLC38A1
up,GO:MF,"deoxynucleoside phosphate kinase activity, ATP as phosphate donor",0.3411335031063963,6,1,AK4
up,GO:MF,L-leucine binding,0.3411335031063963,6,1,UBR2
up,GO:MF,alpha-glucosidase activity,0.3411335031063963,6,1,MGAM
up,GO:MF,nitric-oxide synthase binding,0.3411335031063963,6,1,ATP2B4
up,GO:MF,molecular condensate scaffold activity,0.3411335031063963,35,2,"AR,FXR1"
up,GO:MF,nitric-oxide synthase regulator activity,0.3411335031063963,6,1,ATP2B4
up,GO:MF,glycine transmembrane transporter activity,0.3411335031063963,6,1,SLC38A1
up,GO:MF,"phosphotransferase activity, phosphate group as acceptor",0.3411335031063963,34,2,"AK4,MAGI3"
up,GO:MF,thiolester hydrolase activity,0.3411335031063963,36,2,"ABHD13,HIBCH"
up,GO:MF,ATPase-coupled monoatomic cation transmembrane transporter activity,0.3411335031063963,35,2,"ATP2B4,ATP2C1"
up,GO:MF,hexosyltransferase activity,0.37039414171734997,135,4,"ALG10B,ALG10,MGAT5,GALNT13"
up,GO:MF,phosphatidylinositol phosphate binding,0.3746904475476287,136,4,"TULP3,GOLPH3L,SYTL2,TRPM3"
up,GO:MF,folic acid binding,0.3773647473869372,7,1,MTHFS
up,GO:MF,glucosidase activity,0.3773647473869372,7,1,MGAM
up,GO:MF,DEAD/H-box RNA helicase binding,0.3773647473869372,7,1,SMAD1
up,GO:MF,mRNA 3'-UTR binding,0.38020070783533083,86,3,"FXR1,CRYZ,PABPC1"
up,GO:BP,flagellated sperm motility,0.38093873989706367,99,4,"ATP2B4,CFAP54,TMEM232,MNS1"
up,GO:BP,negative regulation of cell growth,0.38093873989706367,125,5,"JADE1,ACVR1B,SPART,KIAA0319,MAP2"
up,GO:BP,Golgi calcium ion homeostasis,0.38093873989706367,2,1,ATP2C1
up,GO:BP,Golgi calcium ion transport,0.38093873989706367,2,1,ATP2C1
up,GO:BP,inorganic diphosphate transport,0.38093873989706367,2,1,ANKH
up,GO:BP,embryonic camera-type eye development,0.38093873989706367,22,2,"TULP3,WDR19"
up,GO:BP,starch catabolic process,0.38093873989706367,1,1,MGAM
up,GO:BP,negative regulation of transcription initiation-coupled chromatin remodeling,0.38093873989706367,2,1,L3MBTL3
up,GO:BP,epithelial cell morphogenesis,0.38093873989706367,22,2,"AR,ROCK1"
up,GO:BP,noradrenergic neuron development,0.38093873989706367,3,1,ZC4H2
up,GO:BP,starch metabolic process,0.38093873989706367,1,1,MGAM
up,GO:BP,glycogen catabolic process,0.38093873989706367,21,2,"RB1CC1,ADCY10"
up,GO:BP,global genome nucleotide-excision repair,0.38093873989706367,2,1,USP45
up,GO:BP,diphosphate metabolic process,0.38093873989706367,3,1,ANKH
up,GO:BP,somite development,0.38093873989706367,47,3,"ATM,RBPJ,WDR19"
up,GO:BP,cementum mineralization,0.38093873989706367,3,1,ANKH
up,GO:BP,embryonic cranial skeleton morphogenesis,0.38093873989706367,22,2,"TULP3,WDR19"
up,GO:BP,negative regulation of collateral sprouting in absence of injury,0.38093873989706367,1,1,SPART
up,GO:BP,maltose catabolic process,0.38093873989706367,1,1,MGAM
up,GO:BP,maltose metabolic process,0.38093873989706367,2,1,MGAM
up,GO:BP,keratinocyte differentiation,0.38093873989706367,56,3,"INTU,RBPJ,ROCK1"
up,GO:BP,negative regulation of amine catabolic process,0.38093873989706367,1,1,ATP2B4
up,GO:BP,regulation of amine catabolic process,0.38093873989706367,1,1,ATP2B4
up,GO:BP,regulation of extent of cell growth,0.38093873989706367,83,4,"ADCY10,SPART,KIAA0319,MAP2"
up,GO:BP,negative regulation of sprouting of injured axon,0.38093873989706367,2,1,KIAA0319
up,GO:BP,regulation of sprouting of injured axon,0.38093873989706367,3,1,KIAA0319
up,GO:BP,regulation of collateral sprouting in absence of injury,0.38093873989706367,2,1,SPART
up,GO:BP,negative regulation of axon extension involved in regeneration,0.38093873989706367,2,1,KIAA0319
up,GO:BP,formate metabolic process,0.38093873989706367,2,1,MTHFS
up,GO:BP,purine ribonucleotide transport,0.38093873989706367,23,2,"ADCY10,ANKH"
up,GO:BP,negative regulation of axonogenesis,0.38093873989706367,46,3,"SPART,KIAA0319,MAP2"
up,GO:BP,ATP transport,0.38093873989706367,15,2,"ADCY10,ANKH"
up,GO:BP,arterial endothelial cell differentiation,0.38093873989706367,3,1,RBPJ
up,GO:BP,positive regulation of anion transmembrane transport,0.38093873989706367,2,1,TCAF1
up,GO:BP,male genitalia morphogenesis,0.38093873989706367,2,1,AR
up,GO:BP,Golgi to plasma membrane transport,0.38093873989706367,57,3,"BLZF1,GOLPH3L,ATP2C1"
