pathway,pval,padj,log2err,ES,NES,size,leadingEdge,coef
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,0.6538298772746509,0.9693713029863279,0.02157694854556481,-0.2970819650641569,-0.8619034782010718,15,AADAT|IDH1|GOT1|COL6A1|DLD|L2HGDH|DLST,dxSCZ:stratumdepleted
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,0.24963594757645102,0.8302797624069724,0.03907775015974692,-0.45054240838299875,-1.1935551210939457,11,PUM2|TRIM71|RBM24|UPF1|MOV10|HNRNPD,dxSCZ:stratumdepleted
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,0.2778620166793025,0.8453220718164416,0.034815490918796835,0.4067631473335926,1.1547302912170958,15,QKI|ELAVL4,dxSCZ:stratumdepleted
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,0.06337586279021125,0.6436494675843046,0.0816849181752493,-0.4734719635964546,-1.4609838582616332,18,ACLY|PDK2|PDHX|ACSS2|PDHB|DIP2A|PGK1|PDK1|DLD|PDHA1|DLAT,dxSCZ:stratumdepleted
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.17451403887688985,0.7727665715475353,0.048676687486809755,-0.3543480554745328,-1.230094333049028,28,AADAT|ACLY|PDK2|PDHX|ACSS2|PDHB|DIP2A|PGK1|PDK1|DLD|HMGCS1|DLST|ACACB|PDHA1,dxSCZ:stratumdepleted
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,0.4093567251461988,0.8954946453337909,0.026856349843076353,0.27183973654637056,1.027327688553722,47,GRM1|PRKG1|NF1|SLC17A8|DTNBP1|KCNK2|SLC12A2|TTYH3|SLC17A7|ATP1A2|PSEN1|GABBR1,dxSCZ:stratumdepleted
GOBP_ACID_SECRETION,0.9200151630022745,0.999644282896583,0.014856388494778038,0.22520928698130221,0.6393302521268914,15,NF1|SNX10|NMU|GABBR1|TRPC4,dxSCZ:stratumdepleted
GOBP_ACROSOME_ASSEMBLY,0.6147556569690055,0.959655031431386,0.020874908840966162,0.3059773307429914,0.8835538176463046,16,TBPL1|NECTIN2|TBC1D20|DCAF17|TMF1|PAFAH1B1|AGFG2|VPS13B,dxSCZ:stratumdepleted
GOBP_ACROSOME_REACTION,0.26895375284306294,0.8417158424264137,0.03548487309925111,0.4094400458506019,1.1623295435691525,15,PLB1|PLCB1|RIMS1,dxSCZ:stratumdepleted
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.002269824166514613,0.17019940682936885,0.4317076958033464,0.3908429684221385,1.6523872995386992,83,QKI|HCN4|EPB41L5|SGCD|FLNA|LIMCH1|FRMD6|KCNJ3|SCN2A|ROCK1|FGF12|ATP2A2|CACNB2|FNBP1L|MYO5A|AKAP9|CAMK2D|SNTA1|ATP1A2|SCN1A|MYO1D|MYH10|SHTN1|DLG1|PDE4D|MYO6|KCNN2|ACTN4|MYL6B|WASF2|CTNNA3|NOS1|ANK2,dxSCZ:stratumdepleted
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.6431446838740232,0.9656882316704214,0.023629446733127734,-0.1987718903404758,-0.9262269088168275,114,FAM171A1|TAC1|MKKS|ITGB1|ACTG1|ITGB1BP1|BAG4|ASAP3|ZYX|TACR1|SYNPO2|PPM1E|FERMT2|CX3CL1|ACTN1|NRP1,dxSCZ:stratumdepleted
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.6055747859355074,0.956894626478242,0.020448267885915226,0.24867621504158496,0.9132585355815581,41,ADD3|TRIOBP|SPTBN1|EPS8|WDR1|AVIL|FLII,dxSCZ:stratumdepleted
