gene,estimate,se,zval,pval,k,coef,padj
A1BG-AS1,-0.01562290504039774,0.1366105659532677,-0.11436088366504599,0.9089517208218338,5,dxSCZ:stratumdepleted,0.9963126055122565
A2ML1-AS1,-0.0799692282872724,0.10112873967018793,-0.7907665867099379,0.42908021147251607,7,dxSCZ:stratumdepleted,0.9838273170540576
AAAS,0.18118599221830792,0.09793580945265636,1.8500484473546517,0.06430656719909258,6,dxSCZ:stratumdepleted,0.8477343449063887
AACS,-0.1337040085275307,0.05567553044903044,-2.4014860289464757,0.016328632580381038,7,dxSCZ:stratumdepleted,0.6658376678709477
AADAT,-0.1333683093841334,0.07248953901753621,-1.8398283558110335,0.06579344100359573,6,dxSCZ:stratumdepleted,0.8477343449063887
AAGAB,-0.03365037976546485,0.05639990331543747,-0.5966389619014516,0.5507484525452913,7,dxSCZ:stratumdepleted,0.9838273170540576
AAK1,0.017202582241881294,0.02095899395780815,0.8207732812229077,0.4117754204202506,7,dxSCZ:stratumdepleted,0.9838273170540576
AAMDC,-0.14044900174896288,0.17159619591908823,-0.818485520595037,0.4130800065463499,7,dxSCZ:stratumdepleted,0.9838273170540576
AAMP,-0.005910208546776015,0.09315836088243006,-0.06344259914829285,0.9494140663381978,7,dxSCZ:stratumdepleted,0.9966665263195124
AAR2,-0.09295540356977815,0.08486622906704898,-1.0953167660641345,0.2733778847492088,6,dxSCZ:stratumdepleted,0.9699413382239173
AARS2,-0.050296278915064725,0.10497992367985448,-0.47910378624819405,0.6318647963197225,5,dxSCZ:stratumdepleted,0.9838273170540576
AASDH,0.04456171447285269,0.06556850619608907,0.6796207060076448,0.496744655451363,7,dxSCZ:stratumdepleted,0.9838273170540576
AASDHPPT,0.03825587491462269,0.05627026057289764,0.6798595656947871,0.49659338616281373,7,dxSCZ:stratumdepleted,0.9838273170540576
AATF,0.05407573348466603,0.059770449973388894,0.9047235466479125,0.36561186344644536,7,dxSCZ:stratumdepleted,0.9838273170540576
AATK,0.01613829350614134,0.04268668245491105,0.37806389670098733,0.7053831275656695,7,dxSCZ:stratumdepleted,0.9901358000485027
ABAT,-0.010497291446587351,0.03170882403699835,-0.33105268849891584,0.740604687553555,6,dxSCZ:stratumdepleted,0.9916195872233065
ABCA1,-0.062739958633263,0.0950574488904352,-0.6600214855921298,0.5092400415427984,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCA10,0.02643405047599245,0.04672098651956908,0.565785366388198,0.571539695453335,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCA2,0.0159934375882471,0.06040927815259648,0.2647513441204673,0.7912010214201562,7,dxSCZ:stratumdepleted,0.9944788236572528
ABCA3,0.03767325532211061,0.04093099512286222,0.9204089763522026,0.35735907959985147,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCA5,0.005730490689411964,0.030000428262289575,0.19101362951592157,0.8485149149538969,7,dxSCZ:stratumdepleted,0.9963126055122565
ABCA6,0.03283503558276018,0.054113464341047794,0.6067812508882959,0.5439960923789824,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCA7,-0.06940525419188896,0.17156990465182018,-0.404530470147071,0.685822676121203,5,dxSCZ:stratumdepleted,0.9890761100401975
ABCA9,0.018088452093086467,0.05990691086402249,0.301942661242271,0.7626957736147055,6,dxSCZ:stratumdepleted,0.9932304839024042
ABCB1,-0.20906341275295443,0.1385031491037639,-1.5094488039136793,0.1311841291634686,6,dxSCZ:stratumdepleted,0.9216317751522369
ABCB10,0.058157945163495005,0.054939884391575766,1.058574218121447,0.28979373367188105,6,dxSCZ:stratumdepleted,0.9761641259375355
ABCB7,0.13663829524759213,0.05654596734295049,2.416410960287987,0.015674359290615697,6,dxSCZ:stratumdepleted,0.6616009010141325
ABCB8,0.009418657799075615,0.06804286888536877,0.13842240859866073,0.889906587988426,6,dxSCZ:stratumdepleted,0.9963126055122565
ABCB9,0.09388798204347777,0.08471869506395581,1.1082321555189192,0.26776156705768067,7,dxSCZ:stratumdepleted,0.9699413382239173
ABCC1,0.06331034695306409,0.07886887039631854,0.8027292217439861,0.4221312591503663,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCC10,-0.0656937667144779,0.06661700124451832,-0.9861411574704229,0.3240638494229282,7,dxSCZ:stratumdepleted,0.9803686945532772
ABCC4,-0.0021933595060795253,0.10340974023200997,-0.02121037632585196,0.983077837034256,6,dxSCZ:stratumdepleted,0.9988401081376875
ABCC5,-0.019104754059564473,0.030969046185252477,-0.616898368302418,0.5373017631415977,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCC8,-0.02919989522953342,0.05490460714997135,-0.5318295994682963,0.5948440201780607,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCD2,0.034012280174908614,0.0833032667527369,0.40829467439572115,0.6830573486870134,6,dxSCZ:stratumdepleted,0.9883199381283775
ABCD3,0.01896397612416284,0.05151603873218098,0.3681179025187052,0.7127853224705052,6,dxSCZ:stratumdepleted,0.9901358000485027
ABCD4,0.029700553080314312,0.05621415650708032,0.5283465042577566,0.5972588599535014,7,dxSCZ:stratumdepleted,0.9838273170540576
ABCE1,0.024121804062906746,0.07087608062183696,0.34033772538312174,0.7336022102198012,7,dxSCZ:stratumdepleted,0.9913225927840518
ABCF1,0.09844104602291893,0.10249135708235667,0.9604814379013138,0.33681296868116856,7,dxSCZ:stratumdepleted,0.9827661052441915
ABCF3,0.03940669988993157,0.09609613015181269,0.41007582540188514,0.6817503256753841,6,dxSCZ:stratumdepleted,0.9883064970695387
ABCG1,-0.08016677220611393,0.06862078014364784,-1.1682579539069098,0.24270272993893638,7,dxSCZ:stratumdepleted,0.9699413382239173
ABCG4,0.054734405647738564,0.1020537978142194,0.5363289443414745,0.5917312299215294,6,dxSCZ:stratumdepleted,0.9838273170540576
ABCG8,0.46728817675886264,0.14779602096614997,3.1617101306528856,0.0015684560949895566,5,dxSCZ:stratumdepleted,0.3704406602412602
ABHD10,0.12615200452001638,0.08693536397601784,1.4511011255996686,0.14675170315051808,6,dxSCZ:stratumdepleted,0.9349459900060129
ABHD12,0.0948888037547821,0.04365745802859348,2.1734843950977316,0.02974387904551986,7,dxSCZ:stratumdepleted,0.7837953869272386
