gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
A1BG-AS1,0.033947277005139005,0.09237720485582951,0.367485431694102,0.7132569566738489,6,-0.14710871750476542,0.21500327151504342,7.14940251303133e-7,0.001257149778990209,depleted,0.9368667239565326
A2ML1,0.1574790228160087,0.08277318333216808,1.9025367453133548,0.05710101974049901,7,-0.004753435400771833,0.31971148103278924,0,0,depleted,0.5346569168589208
A2ML1-AS1,-0.0678670937716197,0.12736976927857652,-0.5328351786771658,0.5941476797144052,7,-0.3175072542768059,0.18177306673356647,0.04236215695668894,42.00499793296043,depleted,0.9074301992704102
AAAS,0.040173637950901425,0.07679370696704767,0.5231371102861334,0.6008788422449951,6,-0.11033926194383462,0.19068653784563747,0,0,depleted,0.9093313866731071
AACS,-0.1387763154406473,0.03887120832450672,-3.5701569727935234,3.5676737109365577e-4,7,-0.21496248379223398,-0.06259014708906062,0,0,depleted,0.12330546124645682
AADAT,-0.04350044780812554,0.05419818516969589,-0.802618162802399,0.42219546710999106,6,-0.14972693876816237,0.06272604315191127,0.00105943623089421,5.384163812966019,depleted,0.8424946196893048
AAGAB,-0.08549160269339684,0.046630377210688946,-1.8333886150464134,0.06674479948912952,7,-0.17688546261186447,0.005902257225070789,5.054430253848051e-5,0.2841119979825491,depleted,0.5620428263273402
AAK1,0.00900096571780467,0.021672572927278665,0.41531597323525,0.6779106094822034,7,-0.03347649667197932,0.05147842810758866,4.6068991835993364e-4,13.726281528491572,depleted,0.9314803924364571
AAMDC,-0.010604394816961184,0.056514199074296494,-0.18764124752117778,0.8511578896695103,7,-0.12137018961770916,0.1001613999837868,0,0,depleted,0.9736570399148614
AAMP,-0.05839253045040718,0.07690911277824167,-0.7592407237719039,0.4477085692306874,6,-0.20913162157869009,0.09234656067787572,0.001947042194132586,5.025334393069599,depleted,0.8516332168567954
AAR2,0.036022938870783366,0.0669899296871497,0.5377366275649852,0.590758888489684,6,-0.09527491064290061,0.16732078838446734,2.128662662574831e-7,7.130426233003663e-4,depleted,0.9056266088420308
AARS2,-0.0722345879697831,0.06049502538779409,-1.1940583131709483,0.23245515840036704,6,-0.19080265897369572,0.04633348303412951,0,0,depleted,0.7371483842341826
AASDH,-0.02259129242002036,0.06420978810990628,-0.35183564819356533,0.724961522341378,7,-0.14844016457038486,0.10325757973034413,0.010168233570174186,40.49528735517806,depleted,0.9389036554055603
AASDHPPT,0.04826659208342264,0.06268507982437138,0.7699853333305804,0.4413085928488719,7,-0.07459390674036363,0.1711270909072089,0.007097546938852338,28.930028440360704,depleted,0.8473546607481087
AATF,0.05627318158674877,0.04554782510984279,1.2354746126964524,0.21665391917501528,7,-0.03299891520267221,0.14554527837616976,0,0,depleted,0.721551748208964
