pathway,source,NES_depleted,NES_intermediate,NES_non_depleted,padj_depleted,padj_intermediate,padj_non_depleted,family
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,C2:CP:REACTOME,-2.63971434580918,-2.2754205715334788,1.5778117320062992,9.674170580026442e-11,1.853024918988711e-6,0.26892161485726723,Translation
GOCC_RIBOSOMAL_SUBUNIT,C5:GO:CC,-2.5657358606663805,-1.967457722451188,1.28219460018176,1.820228282017327e-10,4.4993215412416824e-4,0.5815632387124503,Translation
REACTOME_TRANSLATION,C2:CP:REACTOME,-2.305379367342301,-1.609011938749772,1.0908173958954266,6.755449539374848e-10,0.04165405753243596,0.7487316258011842,Translation
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,C5:GO:MF,-2.547429727106018,-2.0598225830056696,1.4204428122984396,9.127319933749851e-10,1.7989250926417122e-4,0.4487879311337594,Translation
HALLMARK_OXIDATIVE_PHOSPHORYLATION,H:,-2.39685023697841,-1.447962658456874,-1.1379806494457811,9.127319933749851e-10,0.2902374236206485,0.7287007517123312,OxPhos/mito
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,C2:CP:REACTOME,-2.592851993361282,-2.5539276311739507,1.6743372811940729,4.417688710785712e-9,6.550071173015468e-9,0.256746229250939,Translation
GOCC_RIBOSOME,C5:GO:CC,-2.313169845209026,-1.7741613559597418,1.1749622846115104,1.058722546924379e-8,0.00558127061360983,0.6726140369202914,Translation
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,C2:CP:REACTOME,-2.5164185447939764,-2.4274475436328933,1.7084167606159808,1.738862296458003e-8,1.93973548417704e-7,0.256746229250939,Translation
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,C2:CP:REACTOME,-2.4265445228880664,-2.3353739932345214,1.3898313648926734,2.5372242575778512e-8,1.93973548417704e-7,0.4755075665985742,Translation
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,C2:CP:REACTOME,-2.4628330557980096,-2.46909018426728,1.3660793944992558,2.5372242575778512e-8,9.148601552884732e-9,0.5124921369345989,Translation
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,C2:CP:REACTOME,-2.3639917709490854,-2.26401966614508,1.3267308169046477,2.5372242575778512e-8,3.6722977517541154e-7,0.5302373473404324,Translation
GOCC_CYTOSOLIC_RIBOSOME,C5:GO:CC,-2.4482678288887674,-2.333635739170131,1.5543349412575036,2.723665040250637e-8,1.0126065387475591e-6,0.26892161485726723,Translation
GOBP_CYTOPLASMIC_TRANSLATION,C5:GO:BP,-2.3025948583235167,-1.963749088960245,1.2701737592267968,3.796709332763553e-8,3.127191202736975e-4,0.5806991877530957,Translation
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,C2:CP:REACTOME,-1.9598783284434265,-1.8549209727625664,0.9515603164936308,3.796709332763553e-8,1.7913242650525615e-6,0.93370085781174,Other
REACTOME_SELENOAMINO_ACID_METABOLISM,C2:CP:REACTOME,-2.4721904302483737,-2.363835704572629,1.53565141290761,4.725503476951219e-8,8.194271548474114e-7,0.31257756497840905,Translation
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,C2:CP:REACTOME,-2.2350109118418477,-2.095686080988095,1.299992459142926,6.932525147042957e-8,2.5576677864050553e-6,0.5116698124361169,Translation
REACTOME_INFLUENZA_INFECTION,C2:CP:REACTOME,-2.300206954976113,-2.222210349112568,1.1078245509441234,1.1597390790072274e-7,8.194271548474114e-7,0.7487316258011842,Translation
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,C2:CP:REACTOME,-2.3990371421490333,-2.2435120129515713,1.4706674866208562,1.7215213762397636e-7,3.173683545531636e-6,0.371385777546236,Translation
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,C5:GO:MF,-1.9914632074935168,-1.5093463918870225,-0.7924129306770437,1.9955804856747714e-7,0.05294244251495744,0.9980893650724948,Translation
GOCC_MITOCHONDRIAL_ENVELOPE,C5:GO:CC,-1.8468536528765271,-1.386690415517382,-0.9460012945937144,2.4139183997905957e-7,0.113552622745881,0.93370085781174,Other
GOCC_ORGANELLE_INNER_MEMBRANE,C5:GO:CC,-1.9065903852191293,-1.1338622131747091,-0.8194361607225543,1.5807512058797016e-6,0.6349707635939345,0.9980893650724948,OxPhos/mito
GOCC_LARGE_RIBOSOMAL_SUBUNIT,C5:GO:CC,-2.377869638513856,-1.9350935332772383,1.4507719659290763,2.6983711248866543e-6,0.0107965661746735,0.4586067163944061,Translation
REACTOME_RRNA_PROCESSING,C2:CP:REACTOME,-2.1447715850179567,-1.9908029880084956,1.192500030859304,4.449566028518566e-6,2.114553663211094e-4,0.6726140369202914,Translation
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,C5:GO:CC,-2.2171466871298855,-0.859279829000302,-0.7189471336777279,8.333256736289703e-6,0.9341821215495036,0.9980893650724948,Other
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,C5:GO:CC,-2.3787408789478466,-2.300686183731465,1.711516434962831,1.0571456369298123e-5,8.165745850812614e-5,0.29658393146639656,Translation
GOCC_CELL_SUBSTRATE_JUNCTION,C5:GO:CC,-1.8305752561176656,-1.61424743671231,-1.2220680240117487,9.846017034505232e-5,0.02771865451002998,0.6005284167600012,Other
GOCC_RIBONUCLEOPROTEIN_COMPLEX,C5:GO:CC,-1.6970563181466158,-1.2089209706536057,0.9059134362139618,1.0750121378012286e-4,0.4671073632687806,0.9802252095711612,Translation
GOBP_AEROBIC_RESPIRATION,C5:GO:BP,-2.032885303838853,-1.7932584019652271,-1.1479460566159343,1.9225541978600485e-4,0.01353678593242051,0.7264162786702552,OxPhos/mito
GOBP_OXIDATIVE_PHOSPHORYLATION,C5:GO:BP,-2.1085225792483326,-1.7869407734107643,-0.7165570475520092,1.943003885706267e-4,0.02455988364147756,0.9980893650724948,OxPhos/mito
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,C2:CP:REACTOME,-1.949349652469272,-1.3654229026585092,0.8346968894670507,2.0348291215883265e-4,0.37454638951351343,0.9894347350349892,OxPhos/mito
GOCC_SMALL_RIBOSOMAL_SUBUNIT,C5:GO:CC,-2.1685115090588645,-1.556170793010326,0.7764384672735156,3.2703325823965645e-4,0.2971829839950027,0.9808719768109356,Translation
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX,C5:GO:CC,-2.251299557450277,-2.0248822934720683,-1.0934249377333634,3.6512900668066373e-4,0.02325084505179085,0.8083631649031457,OxPhos/mito
GOBP_CELLULAR_RESPIRATION,C5:GO:BP,-1.9599802535327784,-1.677101129935725,-1.0643381143859316,3.940296285653692e-4,0.0344270556516001,0.8083631649031457,OxPhos/mito
GOBP_ATP_METABOLIC_PROCESS,C5:GO:BP,-1.9363823127576112,-1.884885466147968,-1.3685264173774183,5.536355992938512e-4,0.00174434579894829,0.47256576773544057,Other
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,C5:GO:BP,-2.055593937308241,-1.7812757866747702,0.7076599470025032,5.536355992938512e-4,0.06612402995945915,0.9980893650724948,OxPhos/mito
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,C5:GO:BP,-1.8668628986102251,-1.869187940108344,-1.1904581129105394,5.536355992938512e-4,7.999747797115985e-4,0.67389902839022775,Other
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,C2:CP:REACTOME,-2.0932506948051617,-1.8233527335614257,-1.4869598985073893,5.536355992938512e-4,0.0312303635369709,0.4522049405306496,Other
REACTOME_SARS_COV_1_HOST_INTERACTIONS,C2:CP:REACTOME,-2.081330708117474,-1.763561478787144,-0.5809772008455834,5.536355992938512e-4,0.08218192542811985,0.9984149779100284,Translation
