cell_type,n_de,n_tested,prop_xen,class
Astro,943,11465,0.178617726025542,Glia
L2_3 IT,701,15879,0.15249042394957477,Excitatory
Oligo,453,10635,0.14876734312954765,Glia
L5 IT,805,13908,0.07248516616122344,Excitatory
Micro-PVM,487,3788,0.06902996361984054,Glia
L4 IT,509,14335,0.05294039743503503,Excitatory
Endo,139,4473,0.039432882774475216,Glia
Sst,345,12492,0.03809217451415181,Inhibitory
OPC,259,10040,0.037716330704778665,Glia
Vip,603,13842,0.03263011313958362,Inhibitory
Pvalb,398,13399,0.0277465007332561,Inhibitory
L6 IT,133,11174,0.02655126563930317,Excitatory
Lamp5,400,12721,0.019759667506715387,Inhibitory
VLMC,40,1678,0.018019719886302306,Glia
Chandelier,164,9843,0.017175342273832005,Inhibitory
L5 ET,3,4162,0.01351804237328754,Excitatory
L6 CT,107,9693,0.011244143310428183,Excitatory
L5_6 NP,15,9789,0.009026823180571878,Excitatory
Sncg,54,9920,0.00901710627876501,Inhibitory
L6b,256,9501,0.008877297166669827,Excitatory
L6 IT Car3,84,9400,0.008117898417226002,Excitatory
Pax6,5,7161,0.007814872826938154,Inhibitory
