pathway,pval,padj,log2err,ES,NES,size,leadingEdge,cell_type
PGC3_SCZ_GWAS_no_MHC,0.009516960326021815,0.012689280434695752,0.07216456579790151,-0.28883076308134387,-1.3810747394718128,286,CDK2AP1|GRAMD1B|HES5|ZNF536|MAP1A|PUF60|BRINP2|SPOCK3|FHIT|TSNARE1|MAPK8IP2|SCRIB|TP53BP1|SLC38A7|GOT2|AAAS|ARSA|TTBK1|MAP7D1|AKAP6|CNNM2|CPEB1|SREBF2|ITIH4|BRD1|PPP1R26|CPT1C|ANAPC7|ZNF440|PRMT1|CLTA|UNC45A|CUL9|RABL2B|PRR12|PPP1R16B|SUGP1|CALN1|IRF3|ATP2A2|SEZ6L2|NPTXR|TRAPPC3|NRBP2|NOSIP|ZNF184|SF3B1|MAN2A2|MPHOSPH9|PCDH7|NRGN|STAG1|PANK4|PLEKHO1|TBC1D2|HYKK|EGR1|INO80E|C12orf42|SLC39A8|COQ10B|TAOK2|ZSCAN2|PTK7|CSMD1|CTNNA2|EPHX2|ARHGAP44|PFDN5|PRKD1|KCNB1|ZNF707|PDE4B|ZNF804A|GRIN2A|EEF1A2|PTN|ELAC2|RNF38|MSANTD2|EPN2|CNTN4|MYT1L|PRC1-AS1|SHANK3|DOC2A|TMEM219|LINC00862|FAHD2B|MYL5|B9D1|PSMA4|BLM|ANKRD11|ATF4|ADGRV1|DGKZ|LRP1,Astro
PGC3_SCZ_GWAS_with_MHC,0.009516960326021815,0.012689280434695752,0.07216456579790151,-0.28883076308134387,-1.3810747394718128,286,CDK2AP1|GRAMD1B|HES5|ZNF536|MAP1A|PUF60|BRINP2|SPOCK3|FHIT|TSNARE1|MAPK8IP2|SCRIB|TP53BP1|SLC38A7|GOT2|AAAS|ARSA|TTBK1|MAP7D1|AKAP6|CNNM2|CPEB1|SREBF2|ITIH4|BRD1|PPP1R26|CPT1C|ANAPC7|ZNF440|PRMT1|CLTA|UNC45A|CUL9|RABL2B|PRR12|PPP1R16B|SUGP1|CALN1|IRF3|ATP2A2|SEZ6L2|NPTXR|TRAPPC3|NRBP2|NOSIP|ZNF184|SF3B1|MAN2A2|MPHOSPH9|PCDH7|NRGN|STAG1|PANK4|PLEKHO1|TBC1D2|HYKK|EGR1|INO80E|C12orf42|SLC39A8|COQ10B|TAOK2|ZSCAN2|PTK7|CSMD1|CTNNA2|EPHX2|ARHGAP44|PFDN5|PRKD1|KCNB1|ZNF707|PDE4B|ZNF804A|GRIN2A|EEF1A2|PTN|ELAC2|RNF38|MSANTD2|EPN2|CNTN4|MYT1L|PRC1-AS1|SHANK3|DOC2A|TMEM219|LINC00862|FAHD2B|MYL5|B9D1|PSMA4|BLM|ANKRD11|ATF4|ADGRV1|DGKZ|LRP1,Astro
REF_HALLMARK_OXPHOS,0.007678044449087253,0.012689280434695752,0.08396375980169726,-0.3310992319289158,-1.4756719655473478,152,ECI1|SLC25A3|ACO2|RHOT2|GOT2|NDUFB1|NDUFS8|SLC25A5|NDUFV1|NDUFAB1|UQCRC1|PHYH|COX7A2L|NDUFS7|MFN2|NDUFS6|SLC25A20|NDUFS3|POLR2F|ISCA1|SLC25A6|TIMM13|IDH1|OGDH|SUCLA2|SLC25A11|ATP1B1|NDUFA3|ATP6V1D|COX5A|ATP6AP1|NDUFB7|IMMT|CYC1|ACADVL|NDUFB2|OAT|NDUFA8|COX7B|AIFM1|PDHB|GLUD1|GPX4|SUCLG1|RETSAT,Astro
REF_REACTOME_TRANSLATION,0.9894035725098396,0.9894035725098396,0.013064524553396607,0.14373230714560825,0.7634858589693924,217,RARS2|GFM2|YARS2|RPS27L|SRP72|TSFM|RPS2|MRPS14|GSPT1|AIMP1|EIF3F|MRPS31|EIF2B1|RPL39L|SSR3|RPLP0|MRPS35|RPL7|EIF1AX|MRPL39|PPA2|EIF3E|RPSA|RPS28|SEC61G|RPS15A|RPS19|FARSB|EIF4B|PTCD3|TRAM1|RPL18|IARS2|RPS4X|RPL36AL|RPL37A|RPL31|RPS16|RPS12|RPL27A|SRPRA|RPL35A|DAP3|MRPS5|RPL41|SEC61B|MTRF1L|MRPL15|RPS29|EIF3L|EIF2S2|EIF2S1|MRPL18|PPA1|SEC61A1|EIF3I|SPCS3|SPCS2|RPL18A|MRPS10|SSR1|RPS13|SPCS1|RPL7A|RPLP1|FAU|PABPC1|MRPL51|RPL21|EIF2B2|RPL29|SEC11A|RPS8|RPS23|LARS2|MRPL1|RPS14|EEF1B2|DDOST|RPL10|RPL30|MRPL24|MRPL33|MRPS22|MRPL13|EIF3H|RPL23|RPL34|RPL36|MRPL43,Astro
PGC3_SCZ_GWAS_no_MHC,0.027688413058383,0.055376826116766,0.06266309523755409,-0.24584479276000668,-1.2641767122366652,272,LPCAT4|METAP1D|R3HDM2|PDE4B|LHFPL3|KCNB1|PITPNM2|PPP1R16B|NRBP2|THRAP3|ARHGAP44|TTBK1|PPP1R26|GABBR2|CALN1|SHANK3|GRAMD1B|BRD1|PPP1R13B|TBC1D2|RABL2B|SPG7|UNC45A|EFNA5|VPS45|KLF12|MORN1|TRANK1|ZNF804A|NRGN|GOT2|PIM3|BCL11B|CNTN4|HCN1|SGCD|TRIM9|FUT9|ANAPC7|ZDHHC2|ALMS1|MAN2A2|CSMD1|CRELD2|GATAD2A|PLCL2|PBRM1|ZNF536|SLC4A10|FAHD2B|GALNT2|ZEB2|SLC45A1|TAF12|ANKS1B|IGSF9B|MPHOSPH9|PPP4C|SORCS3|GRIN2A|ASPHD1|CHKB|CPEB1-AS1|CHRNA5|LETM2|KCTD13|UBE2D2|SCARA3|MSANTD2|MMP16|IREB2|CPT1C|GMEB1|SREBF2|ZNF440|STAG1|PPIP5K1|GOLGA8A|ANKRD11|AMBRA1|CNNM2|GMEB2|BRINP2|SCRIB|CATSPER2|ACTR1B|WDR73|CKMT1B|PCGF3|ARSA|RNF38|COQ10B|AAAS,Chandelier
PGC3_SCZ_GWAS_with_MHC,0.027688413058383,0.055376826116766,0.06266309523755409,-0.24584479276000668,-1.2641767122366652,272,LPCAT4|METAP1D|R3HDM2|PDE4B|LHFPL3|KCNB1|PITPNM2|PPP1R16B|NRBP2|THRAP3|ARHGAP44|TTBK1|PPP1R26|GABBR2|CALN1|SHANK3|GRAMD1B|BRD1|PPP1R13B|TBC1D2|RABL2B|SPG7|UNC45A|EFNA5|VPS45|KLF12|MORN1|TRANK1|ZNF804A|NRGN|GOT2|PIM3|BCL11B|CNTN4|HCN1|SGCD|TRIM9|FUT9|ANAPC7|ZDHHC2|ALMS1|MAN2A2|CSMD1|CRELD2|GATAD2A|PLCL2|PBRM1|ZNF536|SLC4A10|FAHD2B|GALNT2|ZEB2|SLC45A1|TAF12|ANKS1B|IGSF9B|MPHOSPH9|PPP4C|SORCS3|GRIN2A|ASPHD1|CHKB|CPEB1-AS1|CHRNA5|LETM2|KCTD13|UBE2D2|SCARA3|MSANTD2|MMP16|IREB2|CPT1C|GMEB1|SREBF2|ZNF440|STAG1|PPIP5K1|GOLGA8A|ANKRD11|AMBRA1|CNNM2|GMEB2|BRINP2|SCRIB|CATSPER2|ACTR1B|WDR73|CKMT1B|PCGF3|ARSA|RNF38|COQ10B|AAAS,Chandelier
REF_HALLMARK_OXPHOS,0.5682097702563094,0.5682097702563094,0.011772253163412922,-0.1999489231933345,-0.9573622556975749,155,IMMT|ACADVL|ABCB7|SDHB|NDUFS6|NDUFS8|ACO2|MPC1|RHOT2|OGDH|TIMM17A|CPT1A|SUCLA2|NDUFV1|MRPL11|GOT2|AIFM1|IDH3A|TIMM50|COX7A2L|COX10|MFN2|NDUFB1|PDHA1|SLC25A11|AFG3L2|MRPS15|IDH2|UQCRB,Chandelier
REF_REACTOME_TRANSLATION,0.23482918544646939,0.3131055805952925,0.015744022694180022,0.22672832534709725,1.096933739896225,224,EIF2S2|MRPS18C|EIF3F|MRPL50|RPL27|EEF1A1|RPS2|MRPS31|EIF3M|RPL22|EIF5|SEC61B|EIF2B3|NARS2|EIF4H|SEC61A1|SPCS2|EEF1A2|RARS2|RPS27L|EIF3E|PABPC1|RPL36|SEC61G|ERAL1|UBA52|MRPL19|PPA1|EEF2|RPL27A|MRPL37|RPLP1|SRP9|RPL37|MRPS27|MRPL3|GSPT1|TRAM1|MTRF1L|RPL23|IARS2|RPL31|ETF1|MRPL39|RPS12|MRPL1|RPL4|RPS19|MRPL41|RPS28|RPN2|RPL35|RPL8|MRPL22|SSR4|EARS2|MRPS34|EIF3B,Chandelier
PGC3_SCZ_GWAS_no_MHC,0.17256021002168703,0.22623644538481882,0.01528859149927891,-0.28888034043814625,-1.1778536189516875,137,SPOCK3|MICU3|EPN2|DGKI|FHIT|KLF12|SLC39A8|PLK2|AKT3|HCN1|GRIN2A|LPCAT4|SLC4A10|PTN|TMEM219|RERE|AKAP6|LSAMP|ERBB4|KLF6|CSMD1|SREBF2|ABCB1|PPP1R13B|ACTR1B|ETF1|MMP16|LRP1|TRIM9|PPP1R16B|CPLX1|FOXP1|RUNDC3B|DGKZ|SLC25A12|PCDH7|ZSWIM6|CTNNA2|SNAP91|ANKS1B|TRPM6|UBE2D2|GABBR2|PDE4B|STAG1|NRGN|TBC1D15|CNTN4|FGFR1|AGO3|RGS6|OPCML|NEK1|PPDPF,Endo
PGC3_SCZ_GWAS_with_MHC,0.17256021002168703,0.22623644538481882,0.01528859149927891,-0.28888034043814625,-1.1778536189516875,137,SPOCK3|MICU3|EPN2|DGKI|FHIT|KLF12|SLC39A8|PLK2|AKT3|HCN1|GRIN2A|LPCAT4|SLC4A10|PTN|TMEM219|RERE|AKAP6|LSAMP|ERBB4|KLF6|CSMD1|SREBF2|ABCB1|PPP1R13B|ACTR1B|ETF1|MMP16|LRP1|TRIM9|PPP1R16B|CPLX1|FOXP1|RUNDC3B|DGKZ|SLC25A12|PCDH7|ZSWIM6|CTNNA2|SNAP91|ANKS1B|TRPM6|UBE2D2|GABBR2|PDE4B|STAG1|NRGN|TBC1D15|CNTN4|FGFR1|AGO3|RGS6|OPCML|NEK1|PPDPF,Endo
