pathway,cell_type,n_le,n_le_gwas,le_gwas_genes
REACTOME_TRANSLATION,Pvalb,121,5,"ETF1,MRPS2,RPL13,SEC11A,SPCS1"
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,Oligo,88,5,"CPLX1,ERBB4,GABBR2,GRIN2A,NRGN"
HALLMARK_MYC_TARGETS_V1,L6 IT,72,4,"GNL3,GOT2,HSPD1,PSMA4"
REACTOME_TRANSLATION,Sncg,98,4,"EEF1A2,ETF1,SEC11A,SPCS1"
REACTOME_TRANSLATION,Sst,111,4,"EEF1A2,ETF1,RPL13,SEC11A"
HALLMARK_MYC_TARGETS_V1,L6b,68,3,"GNL3,HSPD1,PSMA4"
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Sncg,81,3,"ETF1,PAK6,PSMA4"
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Sst,106,3,"ETF1,PSMA4,RPL13"
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,VLMC,28,3,"CACNB2,GABBR2,NRGN"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Sst,85,2,"COX5B,GOT2"
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,L6 IT Car3,72,2,"ETF1,RPL13"
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Pvalb,95,2,"ETF1,RPL13"
REACTOME_TRANSLATION,L6 IT,66,2,"EEF1A2,RPL13"
REACTOME_TRANSLATION,Micro-PVM,45,2,"RPL13,SEC11A"
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,Astro,71,2,"GRIN2A,NRGN"
HALLMARK_MYC_TARGETS_V1,L2_3 IT,84,1,HSPD1
HALLMARK_MYC_TARGETS_V1,L4 IT,76,1,HSPD1
HALLMARK_MYC_TARGETS_V1,OPC,56,1,HSPD1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Lamp5,67,1,GOT2
REACTOME_CHOLESTEROL_BIOSYNTHESIS,Astro,17,1,SREBF2
REACTOME_CHOLESTEROL_BIOSYNTHESIS,L5 IT,17,1,SREBF2
REACTOME_CHOLESTEROL_BIOSYNTHESIS,L5_6 NP,12,1,SREBF2
REACTOME_CHOLESTEROL_BIOSYNTHESIS,L6 IT,15,1,SREBF2
REACTOME_CHOLESTEROL_BIOSYNTHESIS,Oligo,12,1,SREBF2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Micro-PVM,51,1,RPL13
REACTOME_TRANSLATION,Endo,38,1,SEC11A
REACTOME_TRANSLATION,OPC,72,1,SPCS1
REACTOME_TRANSLATION,VLMC,9,1,RPL13
