pathway,source,k_cells,mean_NES,sd_NES,p_fisher,n_pos_NES,n_neg_NES,n_sig_per_ct,padj_fisher,stouffer_Z,p_stouffer,padj_stouffer
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,C5:GO:BP,17,-1.5339993177263376,0.7231165446344774,1.1057316182416493e-17,1,16,1,1.0555590460639346e-15,-9.76514557701468,1.5888365901157516e-22,3.111267958644614e-20
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,C5:GO:BP,17,0.8840345444910346,0.7701518373124993,0.04348240624037507,15,2,0,0.1310778264509917,3.7117149443189192,2.0585974806888456e-4,8.901821202583042e-4
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,C5:GO:BP,20,0.7087646259783911,0.8401291659721474,0.2857072332533475,16,4,0,0.5240024352439517,3.182722878254284,0.0014589717952491954,0.00495427638964789
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,C5:GO:BP,18,0.6739352826106052,0.8365042327042549,0.36747291825799044,14,4,0,0.6162474037629058,2.9586304543270057,0.003090094183987288,0.009409509283537048
GOBP_ACETYL_COA_METABOLIC_PROCESS,C5:GO:BP,18,0.3448119052376571,1.082395392580449,0.10174122150484304,12,6,0,0.2499992627517652,1.270515364455323,0.20390111344530673,0.30641338122428324
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,C5:GO:BP,23,-1.1353315391567267,0.4807984179979705,1.6089474252119893e-4,1,22,0,0.0013296153107652826,-6.386825213998256,1.6936502868953554e-10,3.1624467581955572e-9
GOBP_ACID_SECRETION,C5:GO:BP,18,-0.4547728458626955,0.9684561865094754,0.4877811040450716,5,13,0,0.7348953031351769,-1.5597033010080403,0.1188300117179515,0.19818842530901848
GOBP_ACROSOME_ASSEMBLY,C5:GO:BP,18,-0.7248395746829455,0.8998255591304868,0.09085289757409273,4,14,0,0.2289157303772175,-3.44767160947446,5.654410698502012e-4,0.0021623802956664932
GOBP_ACROSOME_REACTION,C5:GO:BP,18,-0.46775733231498223,0.9028175536283302,0.7189263581886656,5,13,0,0.9073529286888108,-1.7286466914417955,0.08387234762338334,0.14875362721778415
GOBP_ACTIN_CROSSLINK_FORMATION,C5:GO:BP,8,0.22544765890374943,0.9234257842410604,0.9138465292708459,5,3,0,0.9984314354399797,0.4258136654306799,0.6702436284834712,0.7582062791776432
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,C5:GO:BP,23,0.15425916413146484,1.185088300388334,9.243069552684858e-5,13,10,0,8.208060717890029e-4,1.2357351347388947,0.21655703304026927,0.3217599341106102
GOBP_ACTIN_FILAMENT_BASED_PROCESS,C5:GO:BP,14,-0.7030619312775779,0.9668992211810719,2.2995798228142797e-6,3,11,1,3.1930711103332096e-5,-4.420764859999186,9.83521524594778e-6,6.197321685916105e-5
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,C5:GO:BP,23,-1.0117582650990802,0.6306549095584628,2.8608342090937633e-5,2,21,0,2.946335519717358e-4,-6.299309787108838,2.989739367055155e-10,5.273126915981574e-9
