pathway,pval,padj,log2err,ES,NES,size,cell_type
Activity-dependent (IEGs),0.02138157894736842,0.12828947368421054,0.07388385077388998,-0.6036453921514177,-1.6166854740927723,13,Astro
Antioxidant / ROS / NRF2,0.7444625076204023,0.8933550091444827,0.008524155322446597,-0.2304549778818626,-0.8298238070465006,43,Astro
Glycolysis (HALLMARK),0.1606239460370995,0.321247892074199,0.04186154840163159,0.22529517519420653,1.1394573378796977,145,Astro
Mito dynamics (fission/fusion),0.1206659012629162,0.321247892074199,0.030348687194964717,-0.5311885022121481,-1.35825198518913,11,Astro
Mito quality control / mitophagy,0.9809290525763276,0.9809290525763276,0.010782000310916426,0.16580146806463872,0.5693177648829167,24,Astro
PGC-1a / mito biogenesis,0.6587887740029542,0.8933550091444827,0.010172110576019425,-0.2874697128850793,-0.8654206883953112,20,Astro
Activity-dependent (IEGs),0.17964109692910402,0.30410071942446043,0.025745951413882452,0.6404256597773754,1.2813044937253917,5,Chandelier
Antioxidant / ROS / NRF2,0.05066505441354292,0.15199516324062878,0.04915118094961664,0.4073690928598821,1.4336776147669212,36,Chandelier
Glycolysis (HALLMARK),0.027772995925862166,0.15199516324062878,0.065080080620663,0.31268072848107914,1.378538160981376,114,Chandelier
Mito dynamics (fission/fusion),0.2027338129496403,0.30410071942446043,0.025871822333526362,-0.4580289117651074,-1.240504180324751,12,Chandelier
Mito quality control / mitophagy,0.49902415223225177,0.49902415223225177,0.013602265450552816,0.30382665890924004,0.9718777121746729,24,Chandelier
PGC-1a / mito biogenesis,0.36506966511855293,0.4380835981422635,0.016704967385019504,0.3467189203613393,1.0711258110504935,21,Chandelier
Activity-dependent (IEGs),1.3398410340765396e-5,8.039046204459237e-5,0.5933254763964051,-0.8830105528592973,-2.0490658324249815,9,Endo
Antioxidant / ROS / NRF2,0.04546941445861956,0.09093882891723912,0.07019903316897363,0.4269212373189495,1.479411173977009,23,Endo
Glycolysis (HALLMARK),0.012579467063438387,0.03773840119031516,0.149772124675423,0.38460002509044566,1.5670390672871473,44,Endo
Mito dynamics (fission/fusion),0.6658077814996135,0.9292449590344896,0.01411148324457885,0.34791760039110875,0.830347003686563,7,Endo
Mito quality control / mitophagy,0.774370799195408,0.9292449590344896,0.00790519553699175,-0.27767538061173475,-0.7774508496842757,18,Endo
PGC-1a / mito biogenesis,0.9633823300264894,0.9633823300264894,0.006545264973409444,-0.2262088713813078,-0.5562953244385932,11,Endo
Activity-dependent (IEGs),0.50912330281993,0.6244871043376319,0.013483251691117684,-0.3059166581598746,-0.964355816219837,22,L2_3 IT
Antioxidant / ROS / NRF2,0.1384907091391733,0.37529211141287183,0.03272286573781879,0.31216903222065295,1.2356953097901229,48,L2_3 IT
Glycolysis (HALLMARK),0.5924947145877378,0.6244871043376319,0.015495045230937868,0.19001957025613453,0.9518139023038492,181,L2_3 IT
Mito dynamics (fission/fusion),0.18764605570643592,0.37529211141287183,0.02512572110035995,-0.46115521729887854,-1.256015762009127,13,L2_3 IT
Mito quality control / mitophagy,0.02742042196574285,0.1645225317944571,0.07428449749965371,0.4541346978366202,1.5471559145584788,26,L2_3 IT
PGC-1a / mito biogenesis,0.6244871043376319,0.6244871043376319,0.013222808437448937,0.27024453319391983,0.8920127024225734,23,L2_3 IT
Activity-dependent (IEGs),0.03181667220192627,0.10570739549839228,0.06542475863024513,-0.481876412532824,-1.551363938663757,22,L4 IT
