symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1,rank_spec,rank_p,combined_rank,CHR,START,STOP,mid_bp
OPRD1,0.0089360273801043,8.0745e-06,5.092884361128631,0.0001955130068181818,True,False,12.0,89.0,101.0,1,29138654,29190208,29164431.0
SLC35F6,0.0065415901338821,9.0384e-07,6.043908442607748,3.3906730140845066e-05,True,False,43.0,53.0,96.0,2,26987131,27004099,26995615.0
DLX2,0.0088532281680787,8.5324e-07,6.06892879296467,3.2388666128266034e-05,True,False,13.0,52.0,65.0,2,172964166,172967478,172965822.0
GSX2,0.0221600049931971,2.5864e-08,7.5873043083965,1.714787714876033e-06,True,False,1.0,30.0,31.0,4,54966248,54968122,54967185.0
EYS,0.0101342683095177,8.9979e-08,7.0458588377640865,5.099129074468085e-06,True,False,8.0,33.0,41.0,6,64429876,66417118,65423497.0
ZNF664,0.0055495412419353,8.9626e-08,7.047565985666581,5.097199665480427e-06,True,False,58.0,32.0,90.0,12,124457699,124499986,124478842.5
LACC1,0.0085669222598752,1.5303e-08,7.815223421749151,1.0679355589519653e-06,True,False,16.0,29.0,45.0,13,44453420,44468068,44460744.0
TMED6,0.0057470370943741,6.2763e-07,6.202296305806786,2.5201394547738693e-05,True,False,55.0,49.0,104.0,16,69377149,69385712,69381430.5
CDH13,0.0069753658755439,4.32e-06,5.364516253185088,0.00011744947857142857,True,False,36.0,75.0,111.0,16,82660399,83830215,83245307.0
RBFA,0.0062685198030263,2.3522e-07,6.628525754363072,1.1046573343108506e-05,True,False,49.0,43.0,92.0,18,77794346,77810652,77802499.0
HCN1,0.0034200385975719,1.3787e-11,10.86053022441057,2.5037505340909092e-09,True,True,218.0,8.0,226.0,5,45255052,45696220,45475636.0
